,0
0,132.0
1,90.0
2,102.0
3,96.0
4,114.0
5,30.0
6,6.0
7,0.0
8,18.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,150.0
18,288.0
19,480.0
20,480.0
21,462.0
22,324.0
23,372.0
0,84.0
1,96.0
2,102.0
3,114.0
4,144.0
5,24.0
6,6.0
7,12.0
8,30.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,168.0
18,384.0
19,480.0
20,480.0
21,474.0
22,318.0
23,366.0
0,138.0
1,132.0
2,108.0
3,90.0
4,90.0
5,30.0
6,12.0
7,18.0
8,6.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,144.0
18,324.0
19,480.0
20,480.0
21,468.0
22,366.0
23,384.0
0,144.0
1,108.0
2,114.0
3,78.0
4,78.0
5,6.0
6,18.0
7,12.0
8,12.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,156.0
18,312.0
19,480.0
20,480.0
21,480.0
22,384.0
23,366.0
0,168.0
1,96.0
2,132.0
3,108.0
4,114.0
5,30.0
6,12.0
7,6.0
8,6.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,132.0
18,360.0
19,480.0
20,480.0
21,474.0
22,354.0
23,366.0
0,120.0
1,84.0
2,90.0
3,108.0
4,144.0
5,18.0
6,18.0
7,6.0
8,24.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,132.0
18,318.0
19,480.0
20,480.0
21,462.0
22,354.0
23,348.0
0,102.0
1,108.0
2,102.0
3,126.0
4,78.0
5,36.0
6,18.0
7,12.0
8,6.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,168.0
18,378.0
19,480.0
20,480.0
21,474.0
22,336.0
23,354.0
