,0
0,55.0
1,85.0
2,60.0
3,60.0
4,50.0
5,0.0
6,45.0
7,55.0
8,35.0
9,60.0
10,75.0
11,60.0
12,195.0
13,110.0
14,0.0
15,50.0
16,75.0
17,15.0
18,230.0
19,285.0
20,250.0
21,65.0
22,105.0
23,95.0
0,65.0
1,90.0
2,70.0
3,45.0
4,70.0
5,0.0
6,110.0
7,60.0
8,50.0
9,100.0
10,80.0
11,90.0
12,160.0
13,90.0
14,0.0
15,60.0
16,65.0
17,15.0
18,265.0
19,225.0
20,195.0
21,85.0
22,75.0
23,70.0
0,55.0
1,55.0
2,60.0
3,75.0
4,75.0
5,0.0
6,95.0
7,40.0
8,55.0
9,135.0
10,85.0
11,50.0
12,155.0
13,75.0
14,0.0
15,35.0
16,100.0
17,25.0
18,255.0
19,240.0
20,170.0
21,95.0
22,95.0
23,75.0
0,40.0
1,70.0
2,75.0
3,55.0
4,50.0
5,0.0
6,65.0
7,50.0
8,35.0
9,90.0
10,50.0
11,50.0
12,170.0
13,80.0
14,0.0
15,75.0
16,100.0
17,15.0
18,235.0
19,215.0
20,225.0
21,85.0
22,95.0
23,125.0
0,95.0
1,55.0
2,90.0
3,70.0
4,55.0
5,0.0
6,45.0
7,70.0
8,40.0
9,125.0
10,60.0
11,70.0
12,195.0
13,75.0
14,0.0
15,40.0
16,75.0
17,10.0
18,270.0
19,290.0
20,175.0
21,65.0
22,110.0
23,90.0
0,80.0
1,95.0
2,75.0
3,65.0
4,60.0
5,0.0
6,95.0
7,45.0
8,30.0
9,120.0
10,50.0
11,60.0
12,145.0
13,125.0
14,0.0
15,70.0
16,100.0
17,20.0
18,235.0
19,245.0
20,165.0
21,80.0
22,105.0
23,90.0
0,90.0
1,95.0
2,50.0
3,90.0
4,95.0
5,0.0
6,65.0
7,75.0
8,45.0
9,95.0
10,55.0
11,85.0
12,160.0
13,145.0
14,0.0
15,60.0
16,50.0
17,20.0
18,225.0
19,250.0
20,210.0
21,90.0
22,120.0
23,130.0
0,40.0
1,85.0
2,105.0
3,80.0
4,70.0
5,0.0
6,75.0
7,65.0
8,25.0
9,100.0
10,50.0
11,60.0
12,150.0
