,0
0,22
1,15
2,17
3,16
4,19
5,5
6,1
7,0
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,25
18,48
19,80
20,80
21,77
22,54
23,62
0,14
1,16
2,17
3,19
4,24
5,4
6,1
7,2
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,28
18,64
19,80
20,80
21,79
22,53
23,61
0,23
1,22
2,18
3,15
4,15
5,5
6,2
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,24
18,54
19,80
20,80
21,78
22,61
23,64
0,24
1,18
2,19
3,13
4,13
5,1
6,3
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,26
18,52
19,80
20,80
21,80
22,64
23,61
0,28
1,16
2,22
3,18
4,19
5,5
6,2
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,22
18,60
19,80
20,80
21,79
22,59
23,61
0,20
1,14
2,15
3,18
4,24
5,3
6,3
7,1
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,22
18,53
19,80
20,80
21,77
22,59
23,58
0,17
1,18
2,17
3,21
4,13
5,6
6,3
7,2
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,28
18,63
19,80
20,80
21,79
22,56
23,59
0,22
1,20
2,18
3,20
4,16
5,5
6,4
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,25
18,57
19,80
20,80
21,77
22,49
23,58
0,19
1,15
2,20
3,18
4,22
5,9
6,3
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,27
18,57
19,80
20,80
21,78
22,54
23,58
0,19
1,29
2,22
3,23
4,14
5,3
6,3
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,22
18,46
19,80
20,80
21,78
22,61
23,61
0,22
1,22
2,22
3,20
4,15
5,4
6,4
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,27
18,56
19,80
20,80
21,77
22,55
23,65
0,18
