,0
0,11
1,17
2,12
3,12
4,10
5,0
6,9
7,11
8,7
9,12
10,15
11,12
12,39
13,22
14,0
15,10
16,15
17,3
18,46
19,57
20,50
21,13
22,21
23,19
0,13
1,18
2,14
3,9
4,14
5,0
6,22
7,12
8,10
9,20
10,16
11,18
12,32
13,18
14,0
15,12
16,13
17,3
18,53
19,45
20,39
21,17
22,15
23,14
0,11
1,11
2,12
3,15
4,15
5,0
6,19
7,8
8,11
9,27
10,17
11,10
12,31
13,15
14,0
15,7
16,20
17,5
18,51
19,48
20,34
21,19
22,19
23,15
0,8
1,14
2,15
3,11
4,10
5,0
6,13
7,10
8,7
9,18
10,10
11,10
12,34
13,16
14,0
15,15
16,20
17,3
18,47
19,43
20,45
21,17
22,19
23,25
0,19
1,11
2,18
3,14
4,11
5,0
6,9
7,14
8,8
9,25
10,12
11,14
12,39
13,15
14,0
15,8
16,15
17,2
18,54
19,58
20,35
21,13
22,22
23,18
0,16
1,19
2,15
3,13
4,12
5,0
6,19
7,9
8,6
9,24
10,10
11,12
12,29
13,25
14,0
15,14
16,20
17,4
18,47
19,49
20,33
21,16
22,21
23,18
0,18
1,19
2,10
3,18
4,19
5,0
6,13
7,15
8,9
9,19
10,11
11,17
12,32
13,29
14,0
15,12
16,10
17,4
18,45
19,50
20,42
21,18
22,24
23,26
0,8
1,17
2,21
3,16
4,14
5,0
6,15
7,13
8,5
9,20
10,10
11,12
12,30
13,31
14,0
15,10
16,12
17,2
18,51
19,54
20,37
21,16
22,13
23,12
0,18
1,14
2,17
3,18
4,8
5,0
6,15
7,12
8,7
9,30
10,12
11,20
12,46
13,10
14,0
15,12
16,10
17,4
18,42
19,45
20,38
21,19
22,15
23,27
0,14
1,15
2,17
3,11
4,15
5,0
6,14
7,17
8,7
9,23
10,12
11,16
12,24
13,30
14,0
15,8
16,14
17,3
18,46
19,42
20,35
21,12
22,16
23,19
0,11
1,11
2,15
3,17
4,14
5,0
6,16
7,14
8,9
9,18
10,18
11,18
12,46
13,27
14,0
15,10
16,15
17,2
18,49
19,48
20,34
21,21
22,11
23,14
0,14
1,19
2,12
3,18
4,15
5,0
6,14
7,11
8,11
9,23
10,18
11,11
12,37
13,19
14,0
15,7
16,14
17,1
18,45
19,56
20,40
21,13
22,20
23,12
0,12
1,21
2,10
3,8
4,15
5,0
6,19
7,10
8,3
9,20
10,15
11,17
12,36
13,14
14,0
15,4
16,13
17,0
18,54
19,46
20,42
21,15
22,21
23,16
0,10
1,13
2,16
3,14
4,17
5,0
6,19
7,11
8,5
9,18
10,14
11,12
12,36
13,16
14,0
15,16
16,16
17,5
18,45
19,48
20,40
21,15
22,22
23,14
0,16
1,19
2,19
3,21
4,16
5,0
6,10
7,11
8,10
9,21
10,16
11,18
12,35
13,16
14,0
15,14
16,19
17,2
18,47
19,48
20,36
21,13
22,16
23,9
0,11
1,9
2,11
3,17
4,6
5,0
6,9
7,11
8,6
9,18
10,13
11,16
12,41
13,18
14,0
15,14
16,15
17,0
18,40
19,47
20,36
21,20
22,17
23,23
0,15
1,14
2,14
3,12
4,19
5,0
6,9
7,10
8,13
9,22
10,15
11,17
12,34
13,28
14,0
15,13
16,18
17,8
18,43
19,51
20,46
21,16
22,18
23,9
0,14
1,15
2,9
3,15
4,15
5,0
6,10
7,14
8,5
9,22
10,12
11,10
12,42
13,22
14,0
15,6
16,15
17,2
18,52
19,46
20,47
21,14
22,14
23,14
0,12
1,12
2,16
3,12
4,15
5,0
6,12
7,10
8,5
9,23
10,18
11,13
12,41
13,21
14,0
15,12
16,17
17,2
18,46
19,57
20,35
21,17
22,22
23,20
0,14
1,17
2,20
3,17
4,13
5,0
6,13
7,19
8,5
9,19
10,20
11,20
12,35
13,23
14,0
15,13
16,18
17,5
18,44
19,54
20,32
21,9
22,25
23,20
0,10
1,8
2,18
3,15
4,8
5,0
6,13
7,14
8,8
9,24
10,19
11,17
12,27
13,19
14,0
15,11
16,13
17,1
18,39
19,47
20,31
21,12
22,22
23,19
0,17
1,22
2,20
3,13
4,16
5,0
6,7
7,15
8,10
9,20
10,12
11,15
12,29
13,20
14,0
15,6
16,13
17,3
18,52
19,38
20,48
21,11
22,16
23,16
0,20
1,19
2,17
3,15
4,19
5,0
6,19
7,16
8,9
9,24
10,19
11,15
12,34
13,23
14,0
15,5
16,20
17,2
18,45
19,41
20,30
21,14
22,22
23,20
0,16
1,14
2,14
3,11
4,17
5,0
6,16
7,10
8,7
9,26
10,17
11,11
12,34
13,22
14,0
15,13
16,7
17,3
18,44
19,50
20,45
21,10
22,18
23,11
0,14
1,13
2,14
3,14
4,17
5,0
6,14
7,13
8,11
9,19
10,19
11,15
12,36
13,24
14,0
15,9
16,25
17,6
18,53
19,41
20,32
21,19
22,15
23,16
0,21
1,10
2,8
3,15
4,14
5,0
6,10
7,12
8,6
9,26
10,12
11,14
12,37
13,24
14,0
15,6
16,16
17,4
18,54
19,53
20,35
21,11
22,23
23,25
0,15
1,15
2,10
3,7
4,22
5,0
6,13
7,9
8,10
9,25
10,18
11,14
12,31
13,17
14,0
15,11
16,12
17,2
18,45
19,48
20,37
21,11
22,22
23,19
0,12
1,13
2,8
3,13
4,14
5,0
6,15
7,14
8,6
9,19
10,19
11,10
12,35
13,15
14,0
15,14
16,12
17,7
18,42
19,56
20,48
21,12
22,12
23,18
0,17
1,18
2,9
3,14
4,18
5,0
6,15
7,11
8,9
9,21
10,18
11,13
12,38
13,32
14,0
15,14
16,10
17,2
18,42
19,51
20,40
21,7
22,20
23,20
0,13
1,16
2,11
3,15
4,17
5,0
6,21
7,12
8,12
9,21
10,20
11,12
12,39
13,18
14,0
15,13
16,12
17,4
18,47
19,50
20,32
21,17
22,22
23,20
0,11
1,13
2,11
3,15
4,16
5,0
6,14
7,7
8,8
9,14
10,10
11,19
12,45
13,30
14,0
15,11
16,17
17,6
18,59
19,51
20,46
21,9
22,11
23,16
0,13
1,15
2,10
3,7
4,15
5,0
6,19
7,13
8,9
9,18
10,14
11,13
12,31
13,14
14,0
15,12
16,12
17,4
18,43
19,36
20,38
21,16
22,17
23,16
0,11
1,15
2,13
3,20
4,11
5,0
6,12
7,12
8,6
9,26
10,18
11,12
12,35
13,17
14,0
15,16
16,13
17,7
18,53
19,59
20,35
21,6
22,22
23,7
0,15
1,16
2,13
3,14
4,15
5,0
