,0
0,342.0
1,414.0
2,372.0
3,348.0
4,330.0
5,180.0
6,198.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,456.0
19,1800.0
20,1800.0
21,1800.0
22,522.0
23,426.0
0,408.0
1,402.0
2,384.0
3,336.0
4,372.0
5,216.0
6,192.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,522.0
19,1800.0
20,1800.0
21,1800.0
22,498.0
23,336.0
0,312.0
1,378.0
2,342.0
3,372.0
4,336.0
5,132.0
6,174.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,546.0
19,1800.0
20,1800.0
21,1800.0
22,648.0
23,432.0
0,282.0
1,282.0
2,384.0
3,330.0
4,306.0
5,186.0
6,198.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,528.0
19,1800.0
20,1800.0
21,1800.0
22,528.0
23,318.0
0,396.0
1,396.0
2,336.0
3,390.0
4,312.0
5,186.0
6,192.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,552.0
19,1800.0
20,1800.0
21,1800.0
22,528.0
23,438.0
0,366.0
1,384.0
2,288.0
3,348.0
4,438.0
5,162.0
6,132.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,588.0
19,1800.0
20,1800.0
21,1800.0
22,546.0
23,318.0
0,384.0
1,348.0
2,384.0
3,384.0
4,330.0
5,180.0
6,168.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,546.0
19,1800.0
20,1800.0
21,1800.0
22,642.0
23,372.0
0,366.0
1,330.0
2,282.0
3,372.0
4,390.0
5,156.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,546.0
19,1800.0
20,1800.0
21,1800.0
22,558.0
23,264.0
0,360.0
1,360.0
2,288.0
3,354.0
4,300.0
5,198.0
6,144.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,510.0
19,1800.0
20,1800.0
21,1800.0
22,612.0
23,366.0
0,366.0
1,300.0
2,372.0
3,390.0
4,360.0
5,138.0
6,174.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,546.0
19,1800.0
20,1800.0
21,1800.0
22,558.0
23,354.0
0,390.0
1,330.0
2,324.0
3,378.0
4,414.0
5,168.0
6,186.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
