,Domestic,Commercial,Public
0,491.0,0.0,0.0
1,557.0,0.0,0.0
2,492.0,0.0,0.0
3,585.0,0.0,0.0
4,590.0,0.0,0.0
5,432.0,0.0,0.0
6,372.0,0.0,0.0
7,244.0,0.0,0.0
8,180.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,225.0,0.0,0.0
16,30.0,0.0,0.0
17,102.0,0.0,0.0
18,799.0,0.0,0.0
19,2231.0,0.0,0.0
20,2261.0,0.0,0.0
21,2256.0,0.0,0.0
22,966.0,0.0,0.0
23,551.0,0.0,0.0
24,574.0,0.0,0.0
25,632.0,0.0,0.0
26,564.0,0.0,0.0
27,586.0,0.0,0.0
28,605.0,0.0,0.0
29,366.0,0.0,0.0
30,384.0,0.0,0.0
31,279.0,0.0,0.0
32,160.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,230.0,0.0,0.0
40,35.0,0.0,0.0
41,95.0,0.0,0.0
42,807.0,0.0,0.0
43,2243.0,0.0,0.0
44,2237.0,0.0,0.0
45,2241.0,0.0,0.0
46,997.0,0.0,0.0
47,590.0,0.0,0.0
48,659.0,0.0,0.0
49,592.0,0.0,0.0
50,572.0,0.0,0.0
51,555.0,0.0,0.0
52,651.0,0.0,0.0
53,438.0,0.0,0.0
54,396.0,0.0,0.0
55,251.0,0.0,0.0
56,215.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,180.0,0.0,0.0
64,45.0,0.0,0.0
65,132.0,0.0,0.0
66,651.0,0.0,0.0
67,2310.0,0.0,0.0
68,2236.0,0.0,0.0
69,2231.0,0.0,0.0
70,1071.0,0.0,0.0
71,495.0,0.0,0.0
72,477.0,0.0,0.0
73,673.0,0.0,0.0
74,648.0,0.0,0.0
75,596.0,0.0,0.0
76,576.0,0.0,0.0
77,348.0,0.0,0.0
78,402.0,0.0,0.0
79,268.0,0.0,0.0
80,195.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,250.0,0.0,0.0
88,30.0,0.0,0.0
89,91.0,0.0,0.0
90,754.0,0.0,0.0
91,2235.0,0.0,0.0
92,2283.0,0.0,0.0
93,2176.0,0.0,0.0
94,1015.0,0.0,0.0
95,518.0,0.0,0.0
96,576.0,0.0,0.0
97,621.0,0.0,0.0
98,649.0,0.0,0.0
99,651.0,0.0,0.0
100,579.0,0.0,0.0
101,438.0,0.0,0.0
102,330.0,0.0,0.0
103,214.0,0.0,0.0
104,180.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,210.0,0.0,0.0
112,25.0,0.0,0.0
113,112.0,0.0,0.0
114,673.0,0.0,0.0
115,2362.0,0.0,0.0
116,2261.0,0.0,0.0
117,2328.0,0.0,0.0
118,960.0,0.0,0.0
119,657.0,0.0,0.0
120,578.0,0.0,0.0
121,662.0,0.0,0.0
122,548.0,0.0,0.0
123,559.0,0.0,0.0
124,723.0,0.0,0.0
125,432.0,0.0,0.0
126,306.0,0.0,0.0
127,228.0,0.0,0.0
128,185.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,205.0,0.0,0.0
136,40.0,0.0,0.0
137,91.0,0.0,0.0
138,742.0,0.0,0.0
139,2321.0,0.0,0.0
140,2289.0,0.0,0.0
141,2275.0,0.0,0.0
142,936.0,0.0,0.0
143,579.0,0.0,0.0
144,527.0,0.0,0.0
145,639.0,0.0,0.0
146,612.0,0.0,0.0
147,580.0,0.0,0.0
148,521.0,0.0,0.0
149,384.0,0.0,0.0
150,420.0,0.0,0.0
151,196.0,0.0,0.0
152,210.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,185.0,0.0,0.0
160,30.0,0.0,0.0
