,0
0,57
1,69
2,62
3,58
4,55
5,30
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,76
19,300
20,300
21,300
22,87
23,71
0,68
1,67
2,64
3,56
4,62
5,36
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,83
23,56
0,52
1,63
2,57
3,62
4,56
5,22
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,108
23,72
0,47
1,47
2,64
3,55
4,51
5,31
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,88
23,53
0,66
1,66
2,56
3,65
4,52
5,31
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,88
23,73
0,61
1,64
2,48
3,58
4,73
5,27
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,300
20,300
21,300
22,91
23,53
0,64
1,58
2,64
3,64
4,55
5,30
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,107
23,62
0,61
1,55
2,47
3,62
4,65
5,26
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,93
23,44
0,60
1,60
2,48
3,59
4,50
5,33
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,102
23,61
0,61
1,50
2,62
3,65
4,60
5,23
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,93
23,59
0,65
1,55
2,54
3,63
4,69
5,28
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,300
20,300
21,300
22,78
23,62
0,64
1,55
2,50
3,56
4,65
5,25
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,77
19,300
20,300
21,300
22,93
23,52
0,67
1,65
2,73
3,58
4,54
5,32
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,90
23,68
0,59
1,69
2,55
3,55
4,69
5,39
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,78
19,300
20,300
21,300
22,91
23,64
0,42
1,68
2,54
3,67
4,53
5,33
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,83
23,52
0,58
1,56
2,53
3,46
4,59
5,28
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,99
23,58
0,50
1,61
2,64
3,46
4,58
5,27
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,83
19,300
20,300
21,300
22,79
23,61
0,63
1,79
2,50
3,72
4,66
5,29
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,81
19,300
20,300
21,300
22,80
23,61
0,57
1,43
2,57
3,67
4,56
5,27
6,36
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,77
19,300
20,300
21,300
22,88
23,74
0,62
1,48
2,55
3,56
4,63
5,33
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,101
23,58
0,64
1,65
2,57
3,56
4,52
5,36
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,84
19,300
20,300
21,300
22,95
23,55
0,60
1,61
2,62
3,62
4,59
5,29
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,98
23,51
0,52
1,64
2,67
3,52
4,65
5,26
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,103
19,300
20,300
21,300
22,87
23,60
0,71
1,50
2,76
3,59
4,54
5,31
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,76
19,300
20,300
21,300
22,116
23,69
0,64
1,63
2,62
3,58
4,60
5,32
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,98
23,58
0,67
1,66
2,52
3,62
4,52
5,35
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,300
20,300
21,300
22,88
23,51
0,60
1,68
2,61
3,69
4,60
5,29
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,94
23,51
0,61
1,62
2,60
3,54
4,57
5,23
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,89
23,53
0,70
1,54
2,64
3,64
4,58
5,32
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,100
23,65
0,64
1,61
2,59
3,66
4,53
5,26
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,95
23,63
0,55
1,59
2,63
3,69
4,67
5,33
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,74
19,300
20,300
21,300
22,80
23,61
0,60
1,67
2,65
3,60
4,68
5,36
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,105
19,300
20,300
21,300
22,83
23,69
0,55
1,53
2,51
3,59
4,63
5,23
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,101
19,300
20,300
21,300
22,82
23,64
0,64
1,70
2,64
3,65
4,64
5,30
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,78
19,300
20,300
21,300
22,98
23,53
0,70
1,62
2,75
3,64
4,48
5,28
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,87
23,73
0,63
1,48
2,67
3,58
4,50
5,30
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,74
19,300
20,300
21,300
22,91
23,63
0,67
1,65
2,70
3,64
4,63
5,35
6,21
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,96
19,300
20,300
21,300
22,94
23,60
0,57
1,71
2,41
3,63
4,58
5,29
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,103
19,300
20,300
21,300
22,79
23,66
0,60
1,58
2,58
3,58
4,58
5,29
6,36
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,81
19,300
20,300
21,300
22,93
23,62
0,56
1,73
2,60
3,56
4,73
5,38
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,85
23,56
0,64
1,47
2,63
3,66
4,65
5,27
6,38
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,107
19,300
20,300
21,300
22,101
23,72
0,68
1,49
2,53
3,59
4,52
5,28
6,21
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,96
23,51
0,51
1,65
2,59
3,63
4,72
5,30
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,86
23,62
0,55
1,59
2,61
3,57
4,73
5,27
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,82
23,64
0,55
1,55
2,66
3,65
4,62
5,27
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,81
23,58
0,60
1,60
2,69
3,70
4,59
5,28
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,94
23,64
0,55
1,66
2,73
3,63
4,53
5,26
6,40
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,93
23,64
0,62
1,59
2,46
3,61
4,70
5,29
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,97
19,300
20,300
21,300
22,90
23,54
0,67
1,58
2,61
3,64
4,59
5,33
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,92
23,58
0,65
1,58
2,60
3,60
4,63
5,25
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,75
19,300
20,300
21,300
22,105
23,66
0,57
1,68
2,58
3,60
4,60
5,32
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,93
23,53
0,68
1,65
2,58
3,54
4,71
5,29
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,81
23,48
0,56
1,54
2,61
3,65
4,47
5,29
6,38
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,300
20,300
21,300
22,79
23,60
0,60
1,54
2,63
3,53
4,60
5,30
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,90
23,59
0,66
1,49
2,52
3,68
4,55
5,30
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,87
23,65
0,63
1,69
2,55
3,57
4,54
5,30
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,78
19,300
20,300
21,300
22,80
23,63
0,51
1,60
2,72
3,61
4,54
5,31
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,79
23,71
0,65
1,64
2,78
3,48
4,70
5,38
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,101
23,50
0,62
1,53
2,56
3,58
4,60
5,37
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,87
23,53
0,48
1,75
2,55
3,64
4,59
5,40
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,97
19,300
20,300
21,300
22,84
23,62
0,56
1,62
2,51
3,69
4,63
5,32
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,300
20,300
21,300
22,95
23,57
0,65
1,58
2,60
3,65
4,78
5,28
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,88
23,67
0,60
1,63
2,77
3,52
4,61
5,28
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,93
23,69
0,67
1,62
2,60
3,62
4,56
5,28
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,101
19,300
20,300
21,300
22,95
23,50
0,66
1,59
2,60
3,55
