,Domestic,Commercial,Public
0,2114.0,0.0,0.0
1,2041.0,0.0,0.0
2,1167.0,0.0,0.0
3,2702.0,0.0,0.0
4,964.0,0.0,0.0
5,2470.0,0.0,0.0
6,2464.0,0.0,0.0
7,3045.0,0.0,0.0
8,3685.0,0.0,0.0
9,1980.0,0.0,0.0
10,2200.0,0.0,0.0
11,1980.0,0.0,0.0
12,2420.0,0.0,0.0
13,1980.0,0.0,0.0
14,660.0,0.0,0.0
15,1500.0,0.0,0.0
16,1785.0,0.0,0.0
17,3070.0,0.0,0.0
18,2358.0,0.0,0.0
19,5985.0,0.0,0.0
20,5125.0,0.0,0.0
21,5960.0,0.0,0.0
22,3347.0,0.0,0.0
23,2190.0,0.0,0.0
24,1136.0,0.0,0.0
25,1719.0,0.0,0.0
26,1589.0,0.0,0.0
27,2275.0,0.0,0.0
28,3137.0,0.0,0.0
29,2386.0,0.0,0.0
30,2666.0,0.0,0.0
31,2850.0,0.0,0.0
32,3195.0,0.0,0.0
33,1540.0,0.0,0.0
34,2200.0,0.0,0.0
35,1540.0,0.0,0.0
36,1760.0,0.0,0.0
37,1100.0,0.0,0.0
38,1540.0,0.0,0.0
39,1505.0,0.0,0.0
40,1140.0,0.0,0.0
41,2295.0,0.0,0.0
42,2833.0,0.0,0.0
43,4380.0,0.0,0.0
44,5985.0,0.0,0.0
45,6825.0,0.0,0.0
46,3118.0,0.0,0.0
47,2567.0,0.0,0.0
48,3567.0,0.0,0.0
49,1776.0,0.0,0.0
50,1828.0,0.0,0.0
51,1839.0,0.0,0.0
52,2028.0,0.0,0.0
53,1072.0,0.0,0.0
54,2404.0,0.0,0.0
55,2960.0,0.0,0.0
56,3170.0,0.0,0.0
57,1320.0,0.0,0.0
58,1100.0,0.0,0.0
59,1320.0,0.0,0.0
60,1980.0,0.0,0.0
61,880.0,0.0,0.0
62,1760.0,0.0,0.0
63,420.0,0.0,0.0
64,1360.0,0.0,0.0
65,3410.0,0.0,0.0
66,3100.0,0.0,0.0
67,4865.0,0.0,0.0
68,6665.0,0.0,0.0
69,5760.0,0.0,0.0
70,3907.0,0.0,0.0
71,2333.0,0.0,0.0
72,2102.0,0.0,0.0
73,2454.0,0.0,0.0
74,1165.0,0.0,0.0
75,1923.0,0.0,0.0
76,2277.0,0.0,0.0
77,1750.0,0.0,0.0
78,2862.0,0.0,0.0
79,2730.0,0.0,0.0
80,3535.0,0.0,0.0
81,1760.0,0.0,0.0
82,1760.0,0.0,0.0
83,1980.0,0.0,0.0
84,1980.0,0.0,0.0
85,1320.0,0.0,0.0
86,2200.0,0.0,0.0
87,3525.0,0.0,0.0
