,0
0,89
1,76
2,77
3,82
4,84
5,45
6,44
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,128
19,400
20,400
21,400
22,122
23,70
0,76
1,99
2,79
3,80
4,77
5,31
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,128
19,400
20,400
21,400
22,128
23,92
0,77
1,66
2,78
3,79
4,78
5,32
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,125
19,400
20,400
21,400
22,117
23,93
0,87
1,74
2,75
3,58
4,82
5,35
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,113
19,400
20,400
21,400
22,117
23,68
0,77
1,76
2,99
3,81
4,75
5,33
6,46
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,118
19,400
20,400
21,400
22,118
23,73
0,79
1,94
2,74
3,70
4,95
5,40
6,47
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,123
19,400
20,400
21,400
22,135
23,73
0,81
1,74
2,79
3,80
4,72
5,43
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,124
19,400
20,400
21,400
22,120
23,75
0,67
1,78
2,85
3,76
4,72
5,35
6,46
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,113
19,400
20,400
21,400
22,114
23,80
0,85
1,74
2,79
3,88
4,76
5,38
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,120
19,400
20,400
21,400
22,125
23,72
0,70
1,89
2,91
3,96
4,80
5,40
6,45
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,122
19,400
20,400
21,400
22,103
23,86
0,78
1,78
2,83
3,83
4,81
5,42
6,44
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,118
