,0
0,8
1,9
2,9
3,2
4,4
5,0
6,0
7,45
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,36
16,5
17,14
18,22
19,65
20,57
21,48
22,51
23,2
0,4
1,5
2,3
3,7
4,7
5,0
6,0
7,38
8,47
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,8
17,23
18,17
19,44
20,53
21,45
22,46
23,7
0,5
1,12
2,8
3,9
4,4
5,0
6,0
7,52
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,8
17,18
18,18
19,49
20,57
21,52
22,49
23,3
0,8
1,6
2,11
3,7
4,5
5,0
6,0
7,42
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,7
17,25
18,30
19,60
20,47
21,52
22,47
23,4
0,6
1,7
2,6
3,5
4,5
5,0
6,0
7,39
8,48
9,0
10,0
11,0
12,0
13,0
14,0
15,46
16,6
17,24
18,19
19,57
20,51
21,56
22,57
23,5
0,6
1,9
2,4
3,4
4,7
5,0
6,0
7,44
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,13
17,19
18,13
19,55
20,54
21,40
22,57
23,4
0,4
1,8
2,9
3,8
4,4
5,0
6,0
7,41
8,48
9,0
10,0
11,0
12,0
13,0
14,0
15,48
16,6
17,18
18,24
19,55
20,53
21,44
22,40
23,3
0,3
1,6
2,5
3,6
4,6
5,0
6,0
7,41
8,33
9,0
10,0
11,0
12,0
13,0
14,0
15,47
16,8
17,30
18,19
19,51
20,51
21,55
22,46
23,7
0,3
1,8
2,8
3,7
4,5
5,0
6,0
7,43
8,47
9,0
10,0
11,0
12,0
13,0
14,0
15,42
16,3
17,15
18,29
19,54
20,43
21,52
22,48
23,6
0,8
1,6
2,6
3,9
4,5
5,0
6,0
7,28
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,6
17,12
18,19
19,49
20,43
21,49
22,45
23,7
0,6
1,4
2,10
3,10
4,6
5,0
6,0
7,39
8,35
9,0
10,0
11,0
12,0
13,0
14,0
15,33
16,5
17,16
18,22
19,49
20,48
21,51
22,47
23,6
0,4
1,4
2,5
3,9
4,6
5,0
6,0
7,48
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,4
17,17
18,13
19,58
20,51
21,51
22,54
23,2
0,10
1,6
2,7
3,2
4,3
5,0
6,0
7,43
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,36
16,4
17,26
18,27
19,47
20,47
21,57
22,50
23,6
0,3
1,3
2,2
3,3
4,3
5,0
6,0
7,29
8,45
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,7
17,23
18,22
19,44
20,55
21,54
22,47
23,6
0,4
1,4
2,6
3,8
4,4
5,0
6,0
7,50
8,50
9,0
10,0
11,0
12,0
13,0
14,0
15,50
16,7
17,24
18,23
19,55
20,48
21,50
22,53
23,6
0,5
1,10
2,4
3,2
4,6
5,0
6,0
7,34
8,54
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,2
17,17
18,16
19,50
20,55
21,54
22,53
23,6
0,10
1,8
2,3
3,6
4,6
5,0
6,0
7,42
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,9
17,29
18,24
19,50
20,45
21,44
22,43
23,7
0,5
1,10
2,7
3,7
4,7
5,0
6,0
7,36
8,44
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,3
17,19
18,25
19,47
20,47
21,50
22,45
23,4
0,4
1,1
2,6
3,5
4,6
5,0
6,0
7,42
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,52
16,2
17,11
18,21
19,47
20,52
21,43
22,47
23,14
0,4
1,3
2,5
3,6
4,6
5,0
6,0
7,40
8,44
9,0
10,0
11,0
12,0
13,0
14,0
15,50
16,4
17,19
18,17
19,61
20,56
21,46
22,53
23,7
0,5
1,7
2,6
3,7
4,13
5,0
6,0
7,45
8,32
9,0
10,0
11,0
12,0
13,0
14,0
15,42
16,8
17,15
18,18
19,54
20,46
21,56
22,54
23,6
0,8
1,10
2,5
3,4
4,6
5,0
6,0
7,37
8,34
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,4
17,15
18,18
19,44
20,52
21,51
22,41
23,6
0,6
1,3
2,4
3,7
4,5
5,0
6,0
7,43
8,32
9,0
10,0
11,0
12,0
13,0
14,0
15,43
16,5
17,17
18,15
19,49
20,49
21,57
22,49
23,8
0,6
1,8
2,6
3,9
4,7
5,0
6,0
7,36
8,45
9,0
10,0
11,0
12,0
13,0
14,0
15,46
16,7
17,22
18,19
19,38
20,51
21,56
22,55
23,6
0,6
1,4
2,6
3,6
4,1
5,0
6,0
7,40
8,41
