,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,53
8,31
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,18
18,19
19,53
20,100
21,100
22,41
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,34
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,21
18,22
19,44
20,100
21,100
22,40
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,36
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,23
18,14
19,45
20,100
21,100
22,49
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,38
8,46
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,26
18,13
19,36
20,100
21,100
22,42
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,44
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,22
18,22
19,43
20,100
21,100
22,35
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,43
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,12
18,16
19,40
20,100
21,100
22,41
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,32
8,42
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,20
18,18
19,31
20,100
21,100
22,44
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,46
8,56
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,16
18,18
19,48
20,100
21,100
22,36
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,39
8,47
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,22
18,18
19,34
20,100
21,100
22,49
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,46
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,16
18,18
19,43
20,100
21,100
22,39
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,37
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,14
18,14
19,35
20,100
21,100
22,45
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,30
8,36
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,15
18,16
19,41
20,100
21,100
22,43
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,38
8,47
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,15
18,19
19,40
20,100
21,100
22,46
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,49
8,36
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,21
18,23
19,41
20,100
21,100
22,42
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,39
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,32
18,14
19,40
20,100
21,100
22,39
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,37
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,23
18,17
19,42
20,100
21,100
22,43
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,31
8,47
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,21
18,30
19,44
20,100
21,100
22,41
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,46
8,32
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,20
18,17
19,48
20,100
21,100
22,49
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,39
8,32
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,20
18,22
19,33
20,100
21,100
22,49
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,37
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,17
18,19
19,39
20,100
21,100
22,38
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,38
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,18
18,19
19,40
20,100
21,100
22,42
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,40
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,22
18,16
19,46
20,100
21,100
22,43
23,0
0,0
1,0
2,0
3,0
4,0
