,0
0,71
1,58
2,73
3,56
4,58
5,28
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,96
23,60
0,53
1,56
2,51
3,65
4,68
5,30
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,96
23,55
0,58
1,59
2,57
3,70
4,55
5,33
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,100
23,62
0,46
1,61
2,58
3,45
4,53
5,32
6,21
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,97
19,300
20,300
21,300
22,98
23,63
0,63
1,55
2,67
3,55
4,73
5,25
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,77
23,57
0,54
1,50
2,56
3,61
4,55
5,26
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,96
23,58
0,66
1,61
2,57
3,63
4,61
5,28
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,83
19,300
20,300
21,300
22,79
23,61
0,64
1,60
2,45
3,64
4,53
5,28
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,300
20,300
21,300
22,97
23,60
0,70
1,59
2,56
3,49
4,57
5,24
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,79
19,300
20,300
21,300
22,93
23,56
0,63
1,57
2,47
3,49
4,63
5,37
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,101
19,300
20,300
21,300
22,92
23,57
0,69
1,54
2,71
3,60
4,64
5,26
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,107
23,59
0,61
1,51
2,64
3,71
4,55
5,43
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,88
23,52
0,50
1,68
2,57
3,60
4,47
5,23
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,100
19,300
20,300
21,300
22,97
23,58
0,54
1,54
2,67
3,57
4,60
5,24
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,97
19,300
20,300
21,300
22,100
23,59
0,61
1,60
2,61
3,68
4,81
5,23
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,92
23,68
0,66
1,60
2,60
3,71
4,56
5,32
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,300
20,300
21,300
22,97
23,70
0,62
1,66
2,57
3,57
4,58
5,27
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,100
19,300
20,300
21,300
22,86
23,63
0,59
1,61
2,61
3,58
4,63
5,26
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,93
23,71
0,67
1,66
2,61
3,56
4,62
5,31
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,88
23,47
0,56
1,50
2,61
3,56
4,69
5,26
6,19
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,85
23,60
0,67
1,62
2,59
3,56
4,63
5,23
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,104
23,74
0,42
1,65
2,60
3,65
4,63
5,29
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,87
23,75
0,64
1,60
2,65
3,67
4,61
5,33
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,95
23,70
0,51
1,46
2,53
3,54
4,62
5,32
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,71
23,70
0,54
1,58
2,68
3,60
4,71
5,30
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,96
23,53
0,56
1,66
2,64
3,57
4,66
5,26
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,98
23,54
0,67
1,61
2,60
3,58
4,60
5,27
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,94
23,57
0,65
1,55
2,54
3,70
4,54
5,33
6,20
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,76
23,68
0,54
1,45
2,63
3,61
4,66
5,32
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,93
23,63
0,72
1,56
2,70
3,67
4,53
5,27
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,69
23,66
0,57
1,55
2,57
3,69
4,66
5,29
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,85
23,60
0,60
1,68
2,56
3,46
4,58
5,22
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,79
23,63
0,60
1,52
2,60
3,69
4,56
5,30
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,300
20,300
21,300
22,87
23,61
0,55
1,47
2,51
3,58
4,53
5,24
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,74
19,300
20,300
21,300
22,106
23,68
0,58
1,64
2,51
3,48
4,56
5,28
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,89
23,57
0,59
1,55
2,48
3,63
4,67
5,32
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,77
23,75
0,67
1,53
2,48
3,65
4,52
5,27
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,92
23,65
0,48
1,50
2,59
3,63
4,66
5,29
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,85
23,47
0,55
1,52
2,68
3,65
4,59
5,29
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,89
23,60
0,56
1,63
2,60
3,45
4,58
5,24
6,40
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,93
23,54
0,61
1,47
2,64
3,74
4,68
5,34
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,89
23,62
0,64
1,65
2,51
3,59
4,63
5,37
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,88
23,56
0,60
1,59
2,53
3,66
4,62
5,26
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,82
23,57
0,61
1,59
2,63
3,67
4,56
5,31
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,70
19,300
20,300
21,300
22,83
23,50
0,57
1,50
2,68
3,63
4,52
5,29
6,45
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,75
19,300
20,300
21,300
22,92
23,51
0,60
1,62
2,69
3,61
4,58
5,31
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,300
20,300
21,300
22,103
23,51
0,72
1,64
2,53
3,67
4,51
5,25
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,78
23,59
0,51
1,56
2,67
3,56
4,56
5,33
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,85
23,46
0,66
1,59
2,62
3,64
4,57
5,39
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,86
23,60
0,65
1,59
2,67
3,57
4,62
5,30
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,94
23,47
0,65
1,60
2,53
3,63
4,58
5,32
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,99
23,66
0,66
1,48
2,53
3,52
4,71
5,24
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,76
23,58
0,64
1,48
2,52
3,47
4,49
5,32
6,17
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,99
23,57
0,64
1,59
2,66
3,70
4,63
5,33
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,83
19,300
20,300
21,300
22,102
23,60
0,64
1,67
2,61
3,53
4,63
5,29
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,97
19,300
20,300
21,300
22,94
23,74
0,60
1,52
2,50
3,60
4,57
5,25
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,300
20,300
21,300
22,86
23,56
0,66
1,59
2,56
3,51
4,54
5,40
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,76
19,300
20,300
21,300
22,92
23,55
0,67
1,59
2,57
3,57
4,62
5,34
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,101
19,300
20,300
21,300
22,78
23,66
0,68
1,66
2,56
3,55
4,52
5,33
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,84
19,300
20,300
21,300
22,98
23,57
0,52
1,62
2,57
3,60
4,48
5,34
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,96
23,68
0,60
1,52
2,70
3,66
4,51
5,23
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,108
19,300
20,300
21,300
22,75
23,61
0,46
1,64
2,57
3,66
4,57
5,35
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,78
19,300
20,300
21,300
22,103
23,50
0,50
1,62
2,55
3,48
4,55
5,32
6,21
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,85
23,70
0,57
1,69
2,62
3,69
4,58
5,34
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,84
19,300
20,300
21,300
22,95
23,54
0,63
1,58
2,71
3,65
4,64
5,17
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,88
23,59
0,60
1,60
2,61
3,54
4,49
5,27
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,88
23,59
0,54
1,63
2,51
3,54
4,58
5,36
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,105
23,62
0,51
1,68
2,74
3,67
4,61
5,28
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,93
23,60
0,53
1,60
2,58
3,65
4,78
5,34
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,84
19,300
20,300
21,300
22,86
23,71
0,54
1,64
2,46
3,58
4,68
5,25
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,89
23,58
0,44
1,59
2,61
3,60
4,66
5,28
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,77
19,300
20,300
21,300
22,93
23,57
0,71
1,65
2,62
3,58
4,57
5,26
6,47
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,98
23,55
0,67
1,59
2,57
3,54
4,55
5,24
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,108
19,300
20,300
21,300
22,103
23,57
0,58
1,50
2,55
3,48
4,72
5,25
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,72
19,300
20,300
21,300
22,90
23,56
0,63
1,69
2,55
3,71
4,49
5,30
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,85
23,68
0,58
1,43
2,62
3,71
4,66
5,33
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,87
23,59
0,55
1,56
2,59
3,53
4,62
5,43
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,75
23,64
0,41
1,53
2,56
3,60
4,44
5,21
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,72
19,300
20,300
21,300
22,107
23,47
0,61
1,71
2,61
3,60
4,60
5,24
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,51
19,300
20,300
21,300
22,88
23,74
0,70
1,56
2,70
3,54
4,68
5,26
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,73
19,300
20,300
21,300
22,82
23,70
0,59
1,67
2,56
3,60
4,65
5,33
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,59
19,300
20,300
21,300
22,81
23,62
0,62
1,54
2,52
3,62
4,69
5,22
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,81
19,300
20,300
21,300
22,95
23,77
0,57
1,59
2,64
3,61
4,41
5,31
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,70
19,300
20,300
21,300
22,89
23,70
0,58
1,66
2,58
3,61
4,59
5,35
6,17
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,64
19,300
20,300
21,300
22,84
23,52
0,58
1,64
2,65
3,67
4,62
5,28
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,64
19,300
20,300
21,300
22,79
23,54
0,63
1,60
2,61
3,61
4,67
5,28
6,15
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,58
19,300
20,300
21,300
22,81
23,61
