,0
0,186.0
1,246.0
2,180.0
3,192.0
4,192.0
5,234.0
6,252.0
7,42.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,114.0
19,186.0
20,228.0
21,228.0
22,216.0
23,198.0
0,228.0
1,228.0
2,222.0
3,210.0
4,180.0
5,228.0
6,234.0
7,60.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,6.0
18,114.0
19,246.0
20,222.0
21,240.0
22,222.0
23,204.0
0,216.0
1,240.0
2,144.0
3,246.0
4,198.0
5,210.0
6,180.0
7,66.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,6.0
18,96.0
19,264.0
20,270.0
21,192.0
22,192.0
23,216.0
0,186.0
1,150.0
2,204.0
3,198.0
4,192.0
5,192.0
6,192.0
7,54.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,108.0
19,204.0
20,216.0
21,270.0
22,204.0
23,240.0
0,162.0
1,204.0
2,210.0
3,222.0
4,198.0
5,204.0
6,210.0
7,60.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,12.0
18,126.0
19,216.0
20,252.0
21,204.0
22,222.0
23,192.0
0,246.0
1,204.0
2,174.0
3,192.0
4,204.0
5,210.0
6,204.0
7,42.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,6.0
18,138.0
19,204.0
20,210.0
21,174.0
22,228.0
23,222.0
0,234.0
1,186.0
2,156.0
3,144.0
4,204.0
5,192.0
6,228.0
7,24.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,6.0
18,114.0
19,180.0
20,192.0
21,180.0
22,198.0
23,192.0
0,174.0
1,234.0
2,186.0
3,192.0
4,180.0
5,270.0
6,162.0
7,36.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,12.0
18,126.0
19,270.0
20,228.0
21,216.0
22,210.0
23,210.0
0,204.0
1,216.0
2,186.0
3,216.0
4,204.0
5,192.0
6,192.0
7,66.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,102.0
19,174.0
20,180.0
21,186.0
22,216.0
23,240.0
0,174.0
1,204.0
2,162.0
3,192.0
4,186.0
5,246.0
6,168.0
7,66.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,6.0
18,90.0
19,198.0
20,216.0
21,216.0
22,246.0
23,186.0
0,222.0
1,162.0
2,216.0
3,168.0
4,210.0
5,210.0
6,204.0
7,24.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,6.0
18,108.0
19,228.0
20,264.0
21,210.0
22,222.0
23,216.0
0,234.0
1,210.0
2,174.0
3,234.0
4,192.0
5,192.0
6,216.0
7,42.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
