,0
0,24
1,20
2,13
3,24
4,9
5,5
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,80
20,80
21,80
22,27
23,16
0,18
1,21
2,23
3,13
4,17
5,7
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,23
19,80
20,80
21,80
22,22
23,11
0,11
1,14
2,9
3,19
4,20
5,9
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,20
19,80
20,80
21,80
22,26
23,18
0,18
1,17
2,21
3,19
4,16
5,9
6,11
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,80
20,80
21,80
22,23
23,15
0,22
1,20
2,18
3,14
4,17
5,5
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,27
19,80
20,80
21,80
22,16
23,20
0,16
1,4
2,23
3,15
4,19
5,10
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,28
19,80
20,80
21,80
22,28
23,19
0,10
1,17
2,4
3,20
4,16
5,9
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,28
19,80
20,80
21,80
22,26
23,16
0,18
1,18
2,14
3,18
4,23
5,12
6,12
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,22
19,80
20,80
21,80
22,22
23,17
0,22
1,23
2,17
3,12
4,17
5,8
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,19
19,80
20,80
21,80
22,20
23,16
0,13
1,16
2,10
3,19
4,24
5,4
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,22
19,80
20,80
21,80
22,29
23,15
0,21
1,21
2,13
3,20
4,19
5,14
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,18
19,80
20,80
21,80
22,21
23,17
0,18
1,17
2,14
3,20
4,17
5,6
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,29
19,80
20,80
21,80
22,24
23,14
0,22
1,12
2,19
3,13
4,17
5,11
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,80
20,80
21,80
22,20
23,19
0,16
1,17
2,21
3,22
4,16
5,6
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,19
19,80
20,80
21,80
22,21
23,14
0,12
1,14
2,14
3,20
4,9
5,7
6,2
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,28
19,80
20,80
21,80
22,27
23,16
0,9
1,18
2,16
3,22
4,16
5,9
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,80
20,80
21,80
22,18
23,14
0,13
1,13
2,17
3,22
4,17
5,6
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,17
23,21
0,22
1,17
2,15
3,19
4,21
5,6
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,80
20,80
21,80
22,31
23,7
0,20
1,14
2,18
3,17
4,12
5,10
6,13
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,31
19,80
20,80
21,80
22,24
23,13
0,19
1,16
2,16
3,14
4,24
5,14
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,31
19,80
20,80
21,80
22,28
23,18
0,16
1,15
2,9
3,14
4,14
5,8
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,26
19,80
20,80
21,80
22,22
23,14
0,19
1,15
2,16
3,15
4,18
5,11
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,22
19,80
20,80
21,80
22,23
23,19
0,19
1,13
2,11
3,11
4,10
5,13
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,19
19,80
20,80
21,80
22,25
23,24
0,12
1,18
2,12
3,18
4,13
5,6
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,23
19,80
20,80
21,80
22,24
23,14
0,16
1,15
2,14
3,21
4,17
5,7
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,80
20,80
21,80
22,23
23,12
0,16
1,15
2,15
3,13
4,21
5,9
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,18
19,80
20,80
21,80
22,25
23,12
0,21
1,12
2,16
3,24
4,17
5,5
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,23
23,10
0,22
1,23
2,13
3,16
4,23
5,13
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,18
19,80
20,80
21,80
22,27
23,17
0,20
1,18
2,18
3,13
4,17
5,8
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,27
19,80
20,80
21,80
22,28
23,14
0,17
1,13
2,21
3,12
4,16
5,12
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,31
19,80
20,80
21,80
22,35
23,17
0,10
1,18
2,16
3,17
4,18
5,9
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,30
19,80
20,80
21,80
22,22
23,17
0,13
1,17
2,13
3,13
4,8
5,7
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,20
19,80
20,80
21,80
22,14
23,21
0,15
1,18
2,22
3,27
4,13
5,10
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,23
19,80
20,80
21,80
22,18
23,14
0,16
1,18
2,15
3,21
4,9
5,7
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,20
19,80
20,80
21,80
22,29
23,18
0,10
1,18
2,15
3,16
4,16
5,12
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,23
23,18
0,14
1,15
2,14
3,21
4,17
5,8
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,22
23,16
0,21
1,12
2,12
3,20
4,17
5,15
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,22
19,80
20,80
21,80
22,22
23,14
0,17
1,11
2,18
3,12
4,11
5,8
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,19
23,22
0,17
1,15
2,25
3,11
4,16
5,7
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,22
19,80
20,80
21,80
22,27
23,12
0,10
1,17
2,21
3,14
4,17
5,6
6,13
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,20
19,80
20,80
21,80
22,24
23,22
0,17
1,18
2,9
3,19
4,12
5,3
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,22
23,15
0,13
1,18
2,17
3,11
4,14
5,8
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,80
20,80
21,80
22,22
23,18
0,20
1,15
2,13
3,8
4,12
5,12
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,26
19,80
20,80
21,80
22,23
23,18
0,13
1,19
2,14
3,11
4,17
5,8
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,33
19,80
20,80
21,80
22,20
23,21
0,12
1,17
2,12
3,21
4,12
5,1
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,26
19,80
20,80
21,80
22,33
23,21
0,17
1,16
2,11
3,17
4,14
5,6
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,27
19,80
20,80
21,80
22,30
23,17
0,11
1,14
2,16
3,12
4,19
5,13
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,18
19,80
20,80
21,80
22,27
23,14
0,12
1,15
2,21
3,12
4,18
5,7
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,34
19,80
20,80
21,80
22,28
23,18
0,15
1,16
2,21
3,19
4,16
5,4
6,11
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,80
20,80
21,80
22,25
23,17
0,13
1,19
2,16
3,22
4,19
5,11
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,80
20,80
21,80
22,29
23,12
0,9
1,16
2,22
3,18
4,19
5,8
6,11
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,23
19,80
20,80
21,80
22,21
23,16
0,19
1,17
2,15
3,20
4,21
5,8
6,12
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,13
19,80
20,80
21,80
22,20
23,8
0,18
1,16
2,15
3,20
4,9
5,10
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,23
19,80
20,80
21,80
22,27
23,24
0,19
1,15
2,15
3,12
4,16
5,5
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,20
19,80
20,80
21,80
22,19
23,13
0,15
1,21
2,22
3,11
4,13
5,5
6,11
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,23
19,80
20,80
21,80
22,25
23,14
0,25
1,6
2,16
3,12
4,26
5,3
6,11
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,35
23,16
0,19
1,20
2,18
3,17
4,19
5,8
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,17
19,80
20,80
21,80
22,30
23,18
0,17
1,17
2,12
3,15
4,10
5,5
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,80
20,80
21,80
22,27
23,17
0,17
1,17
2,17
3,19
4,11
5,6
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,30
19,80
20,80
21,80
22,20
23,17
0,18
1,16
2,14
3,15
4,18
5,5
6,4
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,29
19,80
20,80
21,80
22,27
23,20
0,13
1,16
2,16
3,20
4,13
5,5
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,27
19,80
20,80
21,80
22,17
23,18
0,12
1,16
2,15
3,14
4,21
5,11
6,13
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,18
19,80
20,80
21,80
22,24
23,16
0,15
1,16
2,19
3,18
4,17
5,7
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,24
23,18
0,22
1,12
2,21
3,16
4,11
5,12
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,80
20,80
21,80
22,25
23,17
0,17
1,18
2,14
3,15
4,18
5,10
6,2
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,19
19,80
20,80
21,80
22,25
23,14
0,17
1,18
2,16
3,17
4,14
5,11
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,26
19,80
20,80
21,80
22,25
23,15
0,11
1,18
2,21
3,14
4,13
5,8
6,5
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,27
19,80
20,80
21,80
22,26
23,16
0,20
1,18
2,19
3,20
4,11
5,7
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,27
19,80
20,80
21,80
22,15
