,0
0,12
1,17
2,11
3,7
4,14
5,0
6,0
7,78
8,81
9,0
10,0
11,0
12,0
13,0
14,0
15,73
16,13
17,48
18,38
19,96
20,89
21,99
22,89
23,4
0,11
1,9
2,8
3,11
4,12
5,0
6,0
7,57
8,74
9,0
10,0
11,0
12,0
13,0
14,0
15,66
16,15
17,43
18,38
19,93
20,96
21,90
22,85
23,12
0,10
1,11
2,10
3,15
4,8
5,0
6,0
7,67
8,62
9,0
10,0
11,0
12,0
13,0
14,0
15,65
16,13
17,26
18,35
19,92
20,84
21,85
22,101
23,7
0,9
1,11
2,16
3,21
4,15
5,0
6,0
7,63
8,74
9,0
10,0
11,0
12,0
13,0
14,0
15,70
16,6
17,37
18,39
19,99
20,96
21,92
22,98
23,11
0,9
1,12
2,8
3,4
4,8
5,0
6,0
7,65
8,69
9,0
10,0
11,0
12,0
13,0
14,0
15,68
16,9
17,38
18,36
19,78
20,102
21,91
22,92
23,11
0,11
1,20
2,15
3,12
4,9
5,0
6,0
7,83
8,72
9,0
10,0
11,0
12,0
13,0
14,0
15,77
16,10
17,36
18,43
19,86
20,89
21,91
22,83
23,11
0,9
1,9
2,15
3,18
4,16
5,0
6,0
7,79
8,70
9,0
10,0
11,0
12,0
13,0
14,0
15,79
16,10
17,36
18,44
19,91
20,83
21,92
22,91
23,12
0,9
1,10
2,8
3,22
4,20
5,0
6,0
7,69
8,68
9,0
10,0
11,0
12,0
13,0
14,0
15,60
16,13
17,34
18,32
19,84
20,79
21,95
22,89
23,11
0,16
1,8
2,9
3,6
4,9
5,0
6,0
7,83
8,66
9,0
10,0
11,0
12,0
13,0
14,0
15,83
16,8
17,29
18,38
19,85
20,84
21,94
22,95
23,13
0,9
1,11
2,11
3,7
4,13
5,0
6,0
7,77
8,58
9,0
10,0
11,0
12,0
13,0
14,0
15,77
16,16
17,42
18,36
19,85
20,94
21,98
22,89
23,8
0,9
1,9
2,11
3,12
4,8
5,0
6,0
7,80
8,75
9,0
10,0
11,0
12,0
13,0
14,0
15,80
16,9
17,36
18,43
19,88
20,93
21,92
22,98
23,10
0,6
1,5
2,11
3,17
4,11
5,0
6,0
7,66
8,79
9,0
10,0
11,0
12,0
13,0
14,0
15,70
16,12
17,40
18,30
19,106
20,92
21,86
22,95
23,5
0,10
1,5
2,13
3,11
4,11
5,0
6,0
7,56
8,80
9,0
10,0
11,0
12,0
13,0
14,0
15,61
16,13
17,35
18,34
19,91
20,94
21,91
22,96
23,11
0,7
1,11
2,14
3,12
4,11
5,0
6,0
7,59
8,78
9,0
10,0
11,0
12,0
13,0
14,0
15,71
16,11
17,31
18,36
19,100
20,92
21,101
22,79
23,9
0,14
1,8
2,11
3,10
4,12
5,0
6,0
7,66
8,66
9,0
10,0
11,0
12,0
13,0
14,0
15,78
16,9
17,41
18,28
19,88
20,83
21,89
22,90
23,16
0,12
1,11
2,8
3,18
4,7
5,0
6,0
7,82
8,76
9,0
10,0
11,0
12,0
13,0
14,0
15,73
16,12
17,34
18,26
19,81
20,76
21,85
22,97
23,4
0,8
1,14
2,17
3,11
4,8
5,0
6,0
7,77
8,65
9,0
10,0
11,0
12,0
13,0
14,0
15,80
16,10
17,34
18,38
19,86
20,107
21,96
22,90
23,16
0,13
1,15
2,9
3,10
4,11
5,0
6,0
7,74
8,77
9,0
10,0
11,0
12,0
13,0
14,0
15,89
16,6
17,33
18,34
19,102
20,88
21,92
22,98
23,11
0,5
1,7
2,14
3,10
4,8
5,0
6,0
7,71
8,75
9,0
10,0
11,0
12,0
13,0
14,0
15,61
16,9
17,33
18,40
19,89
20,95
21,85
22,99
23,10
0,6
1,7
2,9
3,11
4,8
5,0
6,0
7,71
8,71
9,0
10,0
11,0
12,0
13,0
14,0
15,73
16,4
17,33
18,30
19,83
20,96
21,97
22,92
23,11
0,13
1,13
2,14
3,12
4,6
5,0
6,0
7,80
8,73
9,0
10,0
11,0
12,0
13,0
14,0
15,62
16,12
17,44
18,35
19,96
20,105
21,84
22,92
23,15
0,9
1,6
2,19
3,6
4,15
5,0
6,0
7,67
8,69
9,0
10,0
11,0
12,0
13,0
14,0
15,70
16,15
17,37
18,41
19,82
20,83
21,91
22,97
23,7
0,7
1,15
2,11
3,6
4,9
5,0
6,0
7,73
8,79
9,0
10,0
11,0
12,0
13,0
14,0
15,72
16,9
17,39
18,21
19,94
20,75
21,90
22,84
23,10
0,6
1,11
2,14
3,5
4,11
5,0
6,0
7,68
8,80
9,0
10,0
11,0
12,0
13,0
14,0
15,65
16,8
17,36
18,30
19,86
20,92
21,94
22,96
23,12
0,12
1,8
2,9
3,8
4,14
5,0
6,0
7,74
8,76
9,0
10,0
11,0
12,0
13,0
14,0
15,73
16,5
17,41
18,40
19,88
20,83
21,108
22,104
23,10
0,9
1,11
2,4
3,21
4,14
5,0
6,0
7,72
8,83
9,0
10,0
11,0
12,0
13,0
14,0
15,61
16,11
17,32
18,31
19,87
20,97
21,81
22,97
23,9
0,8
1,7
2,10
3,10
4,12
5,0
6,0
7,57
8,84
9,0
10,0
11,0
12,0
13,0
14,0
15,69
16,8
17,33
18,40
19,94
20,95
21,86
22,88
23,9
0,9
1,11
2,8
3,8
4,16
5,0
6,0
7,78
8,70
9,0
10,0
11,0
12,0
13,0
14,0
15,80
16,14
17,37
18,35
19,90
20,95
21,88
22,87
23,15
0,12
1,11
2,9
3,20
4,10
5,0
6,0
7,70
8,63
9,0
10,0
11,0
12,0
13,0
14,0
15,70
16,9
17,36
18,35
19,84
20,77
21,90
22,95
23,13
0,12
1,9
2,12
3,19
4,12
5,0
6,0
7,75
8,74
9,0
10,0
11,0
12,0
13,0
14,0
15,91
16,12
17,53
18,37
19,90
20,87
21,88
22,100
23,10
0,15
1,8
2,18
3,10
4,13
5,0
6,0
7,62
8,69
9,0
10,0
11,0
12,0
13,0
14,0
15,67
16,12
17,34
18,33
19,89
20,84
21,100
22,101
23,8
0,10
1,15
2,9
3,15
4,14
5,0
6,0
7,66
8,68
9,0
10,0
11,0
12,0
13,0
14,0
15,72
16,10
17,39
18,38
19,97
20,89
21,86
22,100
23,7
0,15
1,12
2,10
3,8
4,14
5,0
6,0
7,72
8,71
9,0
10,0
11,0
12,0
13,0
14,0
15,83
16,10
17,32
18,48
19,82
20,92
21,102
22,97
23,7
0,4
1,6
2,13
3,7
4,7
5,0
6,0
7,69
8,78
9,0
10,0
11,0
12,0
13,0
14,0
15,70
16,9
17,29
18,31
19,88
20,100
21,87
22,100
23,6
0,11
1,9
2,11
3,13
4,8
5,0
6,0
7,72
8,69
9,0
10,0
11,0
12,0
13,0
14,0
15,68
16,11
17,31
18,26
19,91
20,82
21,96
22,94
23,9
0,9
1,12
2,15
3,12
4,13
5,0
6,0
7,79
8,79
9,0
10,0
11,0
12,0
13,0
14,0
15,73
16,7
17,38
18,38
19,99
20,92
21,100
22,83
23,12
0,12
1,7
2,11
3,9
4,18
5,0
6,0
7,70
8,66
9,0
10,0
11,0
12,0
13,0
14,0
15,89
16,15
17,39
18,28
19,97
20,90
21,87
22,88
23,12
0,12
1,8
2,13
3,6
4,8
5,0
6,0
7,65
8,68
9,0
10,0
11,0
12,0
13,0
14,0
15,80
16,7
17,30
18,51
19,92
20,104
21,93
22,84
23,11
0,15
1,11
2,12
3,11
4,7
5,0
6,0
7,61
8,68
9,0
10,0
