,0
0,126.0
1,102.0
2,102.0
3,150.0
4,120.0
5,42.0
6,18.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,132.0
19,480.0
20,480.0
21,480.0
22,144.0
23,72.0
0,54.0
1,126.0
2,60.0
3,120.0
4,150.0
5,36.0
6,90.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,150.0
19,480.0
20,480.0
21,480.0
22,150.0
23,126.0
0,90.0
1,114.0
2,96.0
3,78.0
4,90.0
5,42.0
6,48.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,108.0
19,480.0
20,480.0
21,480.0
22,156.0
23,84.0
0,102.0
1,102.0
2,150.0
3,66.0
4,102.0
5,54.0
6,60.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,168.0
19,480.0
20,480.0
21,480.0
22,150.0
23,132.0
0,90.0
1,78.0
2,96.0
3,72.0
4,84.0
5,42.0
6,66.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,156.0
19,480.0
20,480.0
21,480.0
22,102.0
23,78.0
0,120.0
1,72.0
2,72.0
3,96.0
4,96.0
5,54.0
6,48.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,144.0
19,480.0
20,480.0
21,480.0
22,132.0
23,84.0
0,120.0
1,90.0
2,54.0
3,120.0
4,96.0
5,60.0
6,84.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,144.0
19,480.0
20,480.0
21,480.0
22,162.0
23,96.0
0,78.0
1,84.0
2,72.0
3,150.0
4,114.0
5,66.0
6,66.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,126.0
19,480.0
20,480.0
21,480.0
22,102.0
23,90.0
0,96.0
1,90.0
2,114.0
3,162.0
4,90.0
5,42.0
6,36.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,162.0
19,480.0
20,480.0
21,480.0
22,144.0
23,90.0
0,120.0
1,144.0
2,78.0
3,90.0
4,108.0
5,66.0
6,48.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,126.0
19,480.0
20,480.0
21,480.0
22,156.0
23,108.0
0,78.0
1,66.0
2,120.0
3,78.0
4,72.0
5,42.0
6,42.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,144.0
19,480.0
20,480.0
21,480.0
22,126.0
23,90.0
0,132.0
1,114.0
2,78.0
3,102.0
4,96.0
5,54.0
6,36.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,198.0
19,480.0
20,480.0
21,480.0
22,126.0
23,84.0
0,114.0
1,96.0
2,78.0
3,126.0
4,66.0
5,102.0
6,30.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,120.0
19,480.0
20,480.0
21,480.0
22,144.0
23,132.0
0,90.0
1,66.0
2,78.0
3,132.0
4,72.0
5,36.0
6,96.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,126.0
19,480.0
20,480.0
21,480.0
22,156.0
23,114.0
0,78.0
1,126.0
2,84.0
3,108.0
4,102.0
5,60.0
6,42.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
