,0
0,70.0
1,35.0
2,40.0
3,45.0
4,70.0
5,0.0
6,0.0
7,290.0
8,325.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,310.0
16,45.0
17,205.0
18,135.0
19,465.0
20,480.0
21,420.0
22,450.0
23,20.0
0,35.0
1,55.0
2,60.0
3,45.0
4,50.0
5,0.0
6,0.0
7,330.0
8,350.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,310.0
16,50.0
17,150.0
18,185.0
19,500.0
20,455.0
21,370.0
22,435.0
23,80.0
0,35.0
1,45.0
2,45.0
3,65.0
4,45.0
5,0.0
6,0.0
7,325.0
8,340.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,365.0
16,40.0
17,195.0
18,170.0
19,490.0
20,490.0
21,480.0
22,440.0
23,65.0
0,45.0
1,90.0
2,65.0
3,45.0
4,45.0
5,0.0
6,0.0
7,335.0
8,305.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,365.0
16,35.0
17,170.0
18,155.0
19,495.0
20,410.0
21,505.0
22,480.0
23,45.0
0,45.0
1,60.0
2,35.0
3,50.0
4,40.0
5,0.0
6,0.0
7,380.0
8,335.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,380.0
16,90.0
17,195.0
18,250.0
19,355.0
20,485.0
21,490.0
22,460.0
23,55.0
0,45.0
1,35.0
2,50.0
3,55.0
4,50.0
5,0.0
6,0.0
7,315.0
8,335.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,410.0
16,55.0
17,140.0
18,265.0
19,490.0
20,450.0
21,370.0
22,475.0
23,65.0
0,20.0
1,40.0
2,70.0
3,40.0
4,30.0
5,0.0
6,0.0
7,365.0
8,320.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,420.0
16,65.0
17,185.0
18,140.0
19,430.0
20,465.0
21,465.0
22,465.0
23,45.0
0,30.0
1,65.0
2,30.0
3,60.0
4,75.0
5,0.0
6,0.0
7,355.0
8,395.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,295.0
16,40.0
17,165.0
18,170.0
19,450.0
20,465.0
21,460.0
22,420.0
23,40.0
0,50.0
1,65.0
2,50.0
3,85.0
4,40.0
5,0.0
6,0.0
7,345.0
8,425.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,325.0
16,60.0
17,220.0
18,200.0
19,500.0
20,480.0
21,410.0
22,415.0
23,50.0
0,45.0
1,55.0
2,35.0
3,65.0
4,55.0
5,0.0
6,0.0
7,365.0
8,315.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,370.0
16,45.0
17,160.0
18,160.0
19,380.0
20,460.0
21,400.0
22,505.0
23,40.0
0,60.0
1,50.0
2,55.0
3,50.0
4,40.0
5,0.0
6,0.0
7,355.0
8,330.0
9,0.0
10,0.0
11,0.0
