,0
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,80.0
6,80.0
7,80.0
8,80.0
9,80.0
10,80.0
11,80.0
12,80.0
13,80.0
14,80.0
15,80.0
16,80.0
17,80.0
18,80.0
19,80.0
20,80.0
21,80.0
22,80.0
23,80.0
24,80.0
25,80.0
26,80.0
27,80.0
28,80.0
29,80.0
30,80.0
31,80.0
32,80.0
33,80.0
34,80.0
35,80.0
36,80.0
37,80.0
38,80.0
39,80.0
40,80.0
41,80.0
42,80.0
43,80.0
44,80.0
45,80.0
46,80.0
47,80.0
48,80.0
49,80.0
50,80.0
51,80.0
52,80.0
53,80.0
54,80.0
55,80.0
56,80.0
57,80.0
58,80.0
59,80.0
60,80.0
61,80.0
62,80.0
63,80.0
64,80.0
65,80.0
66,80.0
67,80.0
68,80.0
69,80.0
70,80.0
71,80.0
72,80.0
73,80.0
74,80.0
75,80.0
76,80.0
77,80.0
78,80.0
79,80.0
80,80.0
81,80.0
82,80.0
83,80.0
84,80.0
85,80.0
86,80.0
87,80.0
88,80.0
89,80.0
90,80.0
91,80.0
92,80.0
93,80.0
94,80.0
95,80.0
96,80.0
97,80.0
98,80.0
99,80.0
100,80.0
101,81.0
102,81.0
103,81.0
104,81.0
105,81.0
106,81.0
107,81.0
108,81.0
109,81.0
110,81.0
111,81.0
112,81.0
113,81.0
114,81.0
115,81.0
116,81.0
117,81.0
118,81.0
119,81.0
120,81.0
121,81.0
122,81.0
123,81.0
124,81.0
125,81.0
126,81.0
127,81.0
128,81.0
129,81.0
130,81.0
131,81.0
132,81.0
133,81.0
134,81.0
135,81.0
136,81.0
137,81.0
138,81.0
139,81.0
140,81.0
141,81.0
142,81.0
143,81.0
144,81.0
145,81.0
146,81.0
147,81.0
148,81.0
149,81.0
150,81.0
151,81.0
152,81.0
153,81.0
154,81.0
155,81.0
156,81.0
157,81.0
158,81.0
159,81.0
160,81.0
161,81.0
162,81.0
163,81.0
164,81.0
165,81.0
166,81.0
167,81.0
168,81.0
169,81.0
170,81.0
171,81.0
172,81.0
173,81.0
174,81.0
175,81.0
176,81.0
177,81.0
178,81.0
179,81.0
180,81.0
181,81.0
182,82.0
183,82.0
184,82.0
185,82.0
186,82.0
187,82.0
188,82.0
189,82.0
190,82.0
191,82.0
192,82.0
193,82.0
194,82.0
195,82.0
196,82.0
197,82.0
198,82.0
199,82.0
200,82.0
201,82.0
202,82.0
203,82.0
204,82.0
205,82.0
206,82.0
207,82.0
208,82.0
209,82.0
210,82.0
211,82.0
212,82.0
213,82.0
214,82.0
215,82.0
216,82.0
217,82.0
218,82.0
219,82.0
220,82.0
221,82.0
222,82.0
223,82.0
224,82.0
225,82.0
226,82.0
227,82.0
228,82.0
229,82.0
230,82.0
231,82.0
232,82.0
233,82.0
234,82.0
235,82.0
236,82.0
237,82.0
238,82.0
239,82.0
240,82.0
241,82.0
242,82.0
243,82.0
244,82.0
245,82.0
246,82.0
247,82.0
248,82.0
249,82.0
250,83.0
251,83.0
252,83.0
253,83.0
254,83.0
255,83.0
256,83.0
257,83.0
258,83.0
259,83.0
260,83.0
261,83.0
262,83.0
263,83.0
264,83.0
265,83.0
266,83.0
267,83.0
268,83.0
269,83.0
270,83.0
271,83.0
272,83.0
273,83.0
274,83.0
275,83.0
276,83.0
277,83.0
278,83.0
279,83.0
280,83.0
281,83.0
282,83.0
283,83.0
284,83.0
285,83.0
286,83.0
287,83.0
288,83.0
289,83.0
290,83.0
291,83.0
292,83.0
293,83.0
294,83.0
295,83.0
296,83.0
297,83.0
298,83.0
299,83.0
300,83.0
301,83.0
302,83.0
303,83.0
304,83.0
305,83.0
306,83.0
307,83.0
308,84.0
309,84.0
310,84.0
311,84.0
312,84.0
313,84.0
314,84.0
315,84.0
316,84.0
317,84.0
318,84.0
319,84.0
320,84.0
321,84.0
322,84.0
323,84.0
324,84.0
325,84.0
326,84.0
327,84.0
328,84.0
329,84.0
330,84.0
331,84.0
332,84.0
333,84.0
334,84.0
335,84.0
336,84.0
337,84.0
338,84.0
339,84.0
340,84.0
341,84.0
342,84.0
343,84.0
344,84.0
345,84.0
346,84.0
347,84.0
348,84.0
349,84.0
350,84.0
351,84.0
352,84.0
353,84.0
354,84.0
355,84.0
356,84.0
357,84.0
358,84.0
359,85.0
360,85.0
361,85.0
362,85.0
363,85.0
364,85.0
365,85.0
366,85.0
367,85.0
368,85.0
369,85.0
370,85.0
371,85.0
372,85.0
373,85.0
374,85.0
375,85.0
376,85.0
377,85.0
378,85.0
379,85.0
380,85.0
381,85.0
382,85.0
383,85.0
384,85.0
385,85.0
386,85.0
387,85.0
388,85.0
389,85.0
390,85.0
391,85.0
392,85.0
393,85.0
394,85.0
395,85.0
396,85.0
397,85.0
398,85.0
399,85.0
400,85.0
401,85.0
402,85.0
403,85.0
404,85.0
405,86.0
406,86.0
407,86.0
408,86.0
409,86.0
410,86.0
411,86.0
412,86.0
413,86.0
414,86.0
415,86.0
416,86.0
417,86.0
418,86.0
419,86.0
420,86.0
421,86.0
422,86.0
423,86.0
424,86.0
425,86.0
426,86.0
427,86.0
428,86.0
429,86.0
430,86.0
431,86.0
432,86.0
433,86.0
434,86.0
435,86.0
436,86.0
437,86.0
438,86.0
439,86.0
440,86.0
441,86.0
442,86.0
443,86.0
444,86.0
445,86.0
446,87.0
447,87.0
448,87.0
449,87.0
450,87.0
451,87.0
452,87.0
453,87.0
454,87.0
455,87.0
456,87.0
457,87.0
458,87.0
459,87.0
460,87.0
461,87.0
462,87.0
463,87.0
464,87.0
465,87.0
466,87.0
467,87.0
468,87.0
469,87.0
470,87.0
471,87.0
472,87.0
473,87.0
474,87.0
475,87.0
476,87.0
477,87.0
478,87.0
479,87.0
480,87.0
481,87.0
482,87.0
483,88.0
484,88.0
485,88.0
486,88.0
487,88.0
488,88.0
489,88.0
490,88.0
491,88.0
492,88.0
493,88.0
494,88.0
495,88.0
496,88.0
497,88.0
498,88.0
499,88.0
500,88.0
501,88.0
502,88.0
503,88.0
504,88.0
505,88.0
506,88.0
507,88.0
508,88.0
509,88.0
510,88.0
511,88.0
512,88.0
513,88.0
514,88.0
515,88.0
516,88.0
517,88.0
518,89.0
519,89.0
520,89.0
521,89.0
522,89.0
523,89.0
524,89.0
525,89.0
526,89.0
527,89.0
528,89.0
529,89.0
530,89.0
531,89.0
532,89.0
533,89.0
534,89.0
535,89.0
536,89.0
537,89.0
538,89.0
539,89.0
540,89.0
541,89.0
542,89.0
543,89.0
544,89.0
545,89.0
546,89.0
547,89.0
548,89.0
549,89.0
550,90.0
551,90.0
552,90.0
553,90.0
554,90.0
555,90.0
556,90.0
557,90.0
558,90.0
559,90.0
560,90.0
561,90.0
562,90.0
563,90.0
564,90.0
565,90.0
566,90.0
567,90.0
568,90.0
569,90.0
570,90.0
571,90.0
572,90.0
573,90.0
574,90.0
575,90.0
576,90.0
577,90.0
578,90.0
579,90.0
580,91.0
581,91.0
582,91.0
583,91.0
584,91.0
585,91.0
586,91.0
587,91.0
588,91.0
589,91.0
590,91.0
591,91.0
592,91.0
593,91.0
594,91.0
595,91.0
596,91.0
597,91.0
598,91.0
599,91.0
600,91.0
601,91.0
602,91.0
603,91.0
604,91.0
605,91.0
606,91.0
607,91.0
608,92.0
609,92.0
610,92.0
611,92.0
612,92.0
613,92.0
614,92.0
615,92.0
616,92.0
617,92.0
618,92.0
619,92.0
620,92.0
621,92.0
622,92.0
623,92.0
624,92.0
625,92.0
626,92.0
627,92.0
628,92.0
629,92.0
630,92.0
631,92.0
632,92.0
633,92.0
634,93.0
635,93.0
636,93.0
637,93.0
638,93.0
639,93.0
640,93.0
641,93.0
642,93.0
643,93.0
644,93.0
645,93.0
646,93.0
647,93.0
648,93.0
649,93.0
650,93.0
651,93.0
652,93.0
653,93.0
654,93.0
655,93.0
656,93.0
657,93.0
658,93.0
659,94.0
660,94.0
661,94.0
662,94.0
663,94.0
664,94.0
665,94.0
666,94.0
667,94.0
668,94.0
669,94.0
670,94.0
671,94.0
672,94.0
673,94.0
674,94.0
675,94.0
676,94.0
677,94.0
678,94.0
679,94.0
680,94.0
681,94.0
682,95.0
683,95.0
684,95.0
685,95.0
686,95.0
687,95.0
688,95.0
689,95.0
690,95.0
691,95.0
692,95.0
693,95.0
694,95.0
695,95.0
696,95.0
697,95.0
698,95.0
699,95.0
700,95.0
701,95.0
702,95.0
703,95.0
704,95.0
705,96.0
706,96.0
707,96.0
708,96.0
709,96.0
710,96.0
711,96.0
712,96.0
713,96.0
714,96.0
715,96.0
716,96.0
717,96.0
718,96.0
719,96.0
720,96.0
721,96.0
722,96.0
723,96.0
724,96.0
725,96.0
726,97.0
727,97.0
728,97.0
729,97.0
730,97.0
731,97.0
732,97.0
733,97.0
734,97.0
735,97.0
736,97.0
737,97.0
738,97.0
739,97.0
740,97.0
741,97.0
742,97.0
743,97.0
744,97.0
745,97.0
746,97.0
747,98.0
748,98.0
749,98.0
750,98.0
751,98.0
752,98.0
753,98.0
754,98.0
755,98.0
756,98.0
757,98.0
758,98.0
759,98.0
760,98.0
761,98.0
762,98.0
763,98.0
764,98.0
765,98.0
766,99.0
767,99.0
768,99.0
769,99.0
770,99.0
771,99.0
772,99.0
773,99.0
774,99.0
775,99.0
776,99.0
777,99.0
778,99.0
779,99.0
780,99.0
781,99.0
782,99.0
783,99.0
784,99.0
785,100.0
786,100.0
787,100.0
788,100.0
789,100.0
790,100.0
791,100.0
792,100.0
793,100.0
794,100.0
795,100.0
796,100.0
797,100.0
798,100.0
799,100.0
800,100.0
801,100.0
802,100.0
803,101.0
804,101.0
805,101.0
806,101.0
807,101.0
808,101.0
809,101.0
810,101.0
811,101.0
812,101.0
813,101.0
814,101.0
815,101.0
816,101.0
817,101.0
818,101.0
819,101.0
820,102.0
821,102.0
822,102.0
823,102.0
824,102.0
825,102.0
826,102.0
827,102.0
828,102.0
829,102.0
830,102.0
831,102.0
832,102.0
833,102.0
834,102.0
835,102.0
836,102.0
837,103.0
838,103.0
839,103.0
840,103.0
841,103.0
842,103.0
843,103.0
844,103.0
845,103.0
846,103.0
847,103.0
848,103.0
849,103.0
850,103.0
851,103.0
852,103.0
853,104.0
854,104.0
855,104.0
856,104.0
857,104.0
858,104.0
859,104.0
860,104.0
861,104.0
862,104.0
863,104.0
864,104.0
865,104.0
866,104.0
867,104.0
868,104.0
869,105.0
870,105.0
871,105.0
872,105.0
873,105.0
874,105.0
875,105.0
876,105.0
877,105.0
878,105.0
879,105.0
880,105.0
881,105.0
882,105.0
883,105.0
884,106.0
885,106.0
886,106.0
887,106.0
888,106.0
889,106.0
890,106.0
891,106.0
892,106.0
893,106.0
894,106.0
895,106.0
896,106.0
897,106.0
898,106.0
899,107.0
900,107.0
901,107.0
902,107.0
903,107.0
904,107.0
905,107.0
906,107.0
907,107.0
908,107.0
909,107.0
910,107.0
911,107.0
912,107.0
913,108.0
914,108.0
915,108.0
916,108.0
917,108.0
918,108.0
919,108.0
920,108.0
921,108.0
922,108.0
923,108.0
924,108.0
925,108.0
926,108.0
927,109.0
928,109.0
929,109.0
930,109.0
931,109.0
932,109.0
933,109.0
934,109.0
935,109.0
936,109.0
937,109.0
938,109.0
939,109.0
940,110.0
941,110.0
942,110.0
943,110.0
944,110.0
945,110.0
946,110.0
947,110.0
948,110.0
949,110.0
950,110.0
951,110.0
952,110.0
953,111.0
954,111.0
955,111.0
956,111.0
957,111.0
958,111.0
959,111.0
960,111.0
961,111.0
962,111.0
963,111.0
964,111.0
965,111.0
966,112.0
967,112.0
968,112.0
969,112.0
970,112.0
971,112.0
972,112.0
973,112.0
974,112.0
975,112.0
976,112.0
977,112.0
978,112.0
979,113.0
980,113.0
981,113.0
982,113.0
983,113.0
984,113.0
985,113.0
986,113.0
987,113.0
988,113.0
989,113.0
990,113.0
991,114.0
992,114.0
993,114.0
994,114.0
995,114.0
996,114.0
997,114.0
998,114.0
999,114.0
1000,114.0
1001,114.0
1002,114.0
1003,115.0
1004,115.0
1005,115.0
1006,115.0
1007,115.0
1008,115.0
1009,115.0
1010,115.0
1011,115.0
1012,115.0
1013,115.0
1014,115.0
1015,116.0
1016,116.0
1017,116.0
1018,116.0
1019,116.0
1020,116.0
1021,116.0
1022,116.0
1023,116.0
1024,116.0
1025,116.0
1026,117.0
1027,117.0
1028,117.0
1029,117.0
1030,117.0
1031,117.0
1032,117.0
1033,117.0
1034,117.0
1035,117.0
1036,117.0
1037,118.0
1038,118.0
1039,118.0
1040,118.0
1041,118.0
1042,118.0
1043,118.0
1044,118.0
1045,118.0
1046,118.0
1047,118.0
1048,119.0
1049,119.0
1050,119.0
1051,119.0
1052,119.0
1053,119.0
1054,119.0
1055,119.0
1056,119.0
1057,119.0
1058,119.0
1059,120.0
1060,120.0
1061,120.0
1062,120.0
1063,120.0
1064,120.0
1065,120.0
1066,120.0
1067,120.0
1068,120.0
1069,120.0
1070,121.0
1071,121.0
1072,121.0
1073,121.0
1074,121.0
1075,121.0
1076,121.0
1077,121.0
1078,121.0
1079,121.0
1080,122.0
1081,122.0
1082,122.0
