,0
0,21
1,17
2,17
3,25
4,20
5,7
6,3
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,22
19,80
20,80
21,80
22,24
23,12
0,9
1,21
2,10
3,20
4,25
5,6
6,15
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,80
20,80
21,80
22,25
23,21
0,15
1,19
2,16
3,13
4,15
5,7
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,18
19,80
20,80
21,80
22,26
23,14
0,17
1,17
2,25
3,11
4,17
5,9
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,28
19,80
20,80
21,80
22,25
23,22
0,15
1,13
2,16
3,12
4,14
5,7
6,11
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,26
19,80
20,80
21,80
22,17
23,13
0,20
1,12
2,12
3,16
4,16
5,9
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,80
20,80
21,80
22,22
23,14
0,20
1,15
2,9
3,20
4,16
5,10
6,14
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,80
20,80
21,80
22,27
23,16
0,13
1,14
2,12
3,25
4,19
5,11
6,11
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,17
23,15
0,16
1,15
2,19
3,27
4,15
5,7
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,27
19,80
20,80
21,80
22,24
23,15
0,20
1,24
2,13
3,15
4,18
5,11
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,80
20,80
21,80
22,26
23,18
0,13
1,11
2,20
3,13
4,12
5,7
6,7
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,80
20,80
21,80
22,21
23,15
0,22
1,19
2,13
3,17
4,16
5,9
6,6
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,33
19,80
20,80
21,80
22,21
23,14
0,19
