,0
0,14
1,7
2,8
3,9
4,14
5,0
6,0
7,58
8,65
9,0
10,0
11,0
12,0
13,0
14,0
15,62
16,9
17,41
18,27
19,93
20,96
21,84
22,90
23,4
0,7
1,11
2,12
3,9
4,10
5,0
6,0
7,66
8,70
9,0
10,0
11,0
12,0
13,0
14,0
15,62
16,10
17,30
18,37
19,100
20,91
21,74
22,87
23,16
0,7
1,9
2,9
3,13
4,9
5,0
6,0
7,65
8,68
9,0
10,0
11,0
12,0
13,0
14,0
15,73
16,8
17,39
18,34
19,98
20,98
21,96
22,88
23,13
0,9
1,18
2,13
3,9
4,9
5,0
6,0
7,67
8,61
9,0
10,0
11,0
12,0
13,0
14,0
15,73
16,7
17,34
18,31
19,99
20,82
21,101
22,96
23,9
0,9
1,12
2,7
3,10
4,8
5,0
6,0
7,76
8,67
9,0
10,0
11,0
12,0
13,0
14,0
15,76
16,18
17,39
18,50
19,71
20,97
21,98
22,92
23,11
0,9
1,7
2,10
3,11
4,10
5,0
6,0
7,63
8,67
9,0
10,0
11,0
12,0
13,0
14,0
15,82
16,11
17,28
18,53
19,98
20,90
21,74
22,95
23,13
0,4
1,8
2,14
3,8
4,6
5,0
6,0
7,73
8,64
9,0
10,0
11,0
12,0
13,0
14,0
15,84
16,13
17,37
18,28
19,86
20,93
21,93
22,93
23,9
0,6
1,13
2,6
3,12
4,15
5,0
6,0
7,71
8,79
9,0
10,0
11,0
12,0
13,0
14,0
15,59
16,8
17,33
18,34
19,90
20,93
21,92
22,84
23,8
0,10
1,13
2,10
3,17
4,8
5,0
6,0
7,69
8,85
9,0
10,0
11,0
12,0
13,0
14,0
15,65
16,12
17,44
18,40
19,100
20,96
21,82
22,83
23,10
0,9
1,11
2,7
3,13
4,11
5,0
6,0
7,73
8,63
9,0
10,0
11,0
12,0
13,0
14,0
15,74
16,9
17,32
18,32
19,76
20,92
21,80
22,101
23,8
0,12
1,10
2,11
3,10
4,8
5,0
6,0
7,71
8,66
9,0
10,0
11,0
12,0
13,0
14,0
15,61
16,6
17,34
18,41
19,105
20,91
21,103
22,86
23,12
0,11
1,9
2,10
3,8
4,13
5,0
6,0
7,78
8,78
9,0
10,0
11,0
12,0
13,0
14,0
15,80
16,11
17,38
18,39
19,87
20,104
21,88
22,96
23,9
0,8
1,10
2,9
3,12
4,9
5,0
6,0
7,77
8,77
9,0
10,0
11,0
12,0
13,0
14,0
15,72
16,9
17,42
18,35
19,89
20,90
21,90
22,86
23,9
0,16
1,12
2,8
3,10
4,14
5,0
6,0
7,66
8,72
9,0
10,0
11,0
12,0
13,0
14,0
15,70
16,12
17,42
18,42
19,91
20,88
21,87
22,92
23,14
0,7
1,16
2,8
3,9
4,9
5,0
6,0
7,66
