,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,2.0
127,2.0
128,2.0
129,2.0
130,2.0
131,2.0
132,2.0
133,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,2.0
139,2.0
140,2.0
141,2.0
142,2.0
143,2.0
144,2.0
145,2.0
146,2.0
147,2.0
148,2.0
149,2.0
150,2.0
151,2.0
152,2.0
153,2.0
154,2.0
155,2.0
156,2.0
157,2.0
158,2.0
159,2.0
160,2.0
161,2.0
162,2.0
163,2.0
164,2.0
165,2.0
166,2.0
167,2.0
168,2.0
169,2.0
170,2.0
171,2.0
172,2.0
173,2.0
174,2.0
175,2.0
176,2.0
177,2.0
178,3.0
179,3.0
180,3.0
181,3.0
182,3.0
183,3.0
184,3.0
185,3.0
186,3.0
187,3.0
188,3.0
189,3.0
190,3.0
191,3.0
192,3.0
193,3.0
194,3.0
195,3.0
196,3.0
197,3.0
198,3.0
199,3.0
200,3.0
201,3.0
202,3.0
203,3.0
204,3.0
205,3.0
206,3.0
207,3.0
208,3.0
209,3.0
210,3.0
211,3.0
212,3.0
213,3.0
214,3.0
215,3.0
216,3.0
217,3.0
218,3.0
219,3.0
220,3.0
221,3.0
222,3.0
223,3.0
224,3.0
225,4.0
226,4.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,4.0
233,4.0
234,4.0
235,4.0
236,4.0
237,4.0
238,4.0
239,4.0
240,4.0
241,4.0
242,4.0
243,4.0
244,4.0
245,4.0
246,4.0
247,4.0
248,4.0
249,4.0
250,4.0
251,4.0
252,4.0
253,4.0
254,4.0
255,4.0
256,4.0
257,4.0
258,4.0
259,4.0
260,4.0
261,4.0
262,4.0
263,4.0
264,4.0
265,4.0
266,4.0
267,5.0
268,5.0
269,5.0
270,5.0
271,5.0
272,5.0
273,5.0
274,5.0
275,5.0
276,5.0
277,5.0
278,5.0
279,5.0
280,5.0
281,5.0
282,5.0
283,5.0
284,5.0
285,5.0
286,5.0
287,5.0
288,5.0
289,5.0
290,5.0
291,5.0
292,5.0
293,5.0
294,5.0
295,5.0
296,5.0
297,5.0
298,5.0
299,5.0
300,5.0
301,5.0
302,5.0
303,5.0
304,5.0
305,5.0
306,6.0
307,6.0
308,6.0
309,6.0
310,6.0
311,6.0
312,6.0
313,6.0
314,6.0
315,6.0
316,6.0
317,6.0
318,6.0
319,6.0
320,6.0
321,6.0
322,6.0
323,6.0
324,6.0
325,6.0
326,6.0
327,6.0
328,6.0
329,6.0
330,6.0
331,6.0
332,6.0
333,6.0
334,6.0
335,6.0
336,6.0
337,6.0
338,6.0
339,6.0
340,6.0
341,6.0
342,7.0
343,7.0
344,7.0
345,7.0
346,7.0
347,7.0
348,7.0
349,7.0
350,7.0
351,7.0
352,7.0
353,7.0
354,7.0
355,7.0
356,7.0
357,7.0
358,7.0
359,7.0
360,7.0
361,7.0
362,7.0
363,7.0
364,7.0
365,7.0
366,7.0
367,7.0
368,7.0
369,7.0
370,7.0
371,7.0
372,7.0
373,7.0
374,7.0
375,8.0
376,8.0
377,8.0
378,8.0
379,8.0
380,8.0
381,8.0
382,8.0
383,8.0
384,8.0
385,8.0
386,8.0
387,8.0
388,8.0
389,8.0
390,8.0
391,8.0
392,8.0
393,8.0
394,8.0
395,8.0
396,8.0
397,8.0
398,8.0
399,8.0
400,8.0
401,8.0
402,8.0
403,8.0
404,8.0
405,8.0
406,8.0
407,9.0
408,9.0
409,9.0
410,9.0
411,9.0
412,9.0
413,9.0
414,9.0
415,9.0
416,9.0
417,9.0
418,9.0
419,9.0
420,9.0
421,9.0
422,9.0
423,9.0
424,9.0
425,9.0
426,9.0
427,9.0
428,9.0
429,9.0
430,9.0
431,9.0
432,9.0
433,9.0
434,9.0
435,9.0
436,9.0
437,10.0
438,10.0
439,10.0
440,10.0
441,10.0
442,10.0
443,10.0
444,10.0
445,10.0
446,10.0
447,10.0
448,10.0
449,10.0
450,10.0
451,10.0
452,10.0
453,10.0
454,10.0
455,10.0
456,10.0
457,10.0
458,10.0
459,10.0
460,10.0
461,10.0
462,10.0
463,10.0
464,10.0
465,11.0
466,11.0
467,11.0
468,11.0
469,11.0
470,11.0
471,11.0
472,11.0
473,11.0
474,11.0
475,11.0
476,11.0
477,11.0
478,11.0
479,11.0
480,11.0
481,11.0
482,11.0
483,11.0
484,11.0
485,11.0
486,11.0
487,11.0
488,11.0
489,11.0
490,11.0
491,11.0
492,12.0
493,12.0
494,12.0
495,12.0
496,12.0
497,12.0
498,12.0
499,12.0
500,12.0
501,12.0
502,12.0
503,12.0
504,12.0
505,12.0
506,12.0
507,12.0
508,12.0
509,12.0
510,12.0
511,12.0
512,12.0
513,12.0
514,12.0
515,12.0
516,12.0
517,13.0
518,13.0
519,13.0
520,13.0
521,13.0
522,13.0
523,13.0
524,13.0
525,13.0
526,13.0
527,13.0
528,13.0
529,13.0
530,13.0
531,13.0
532,13.0
533,13.0
534,13.0
535,13.0
536,13.0
537,13.0
538,13.0
539,13.0
540,13.0
541,13.0
542,14.0
543,14.0
544,14.0
545,14.0
546,14.0
547,14.0
548,14.0
549,14.0
550,14.0
551,14.0
552,14.0
553,14.0
554,14.0
555,14.0
556,14.0
557,14.0
558,14.0
559,14.0
560,14.0
561,14.0
562,14.0
563,14.0
564,14.0
565,14.0
566,15.0
567,15.0
568,15.0
569,15.0
570,15.0
571,15.0
