,Domestic,Commercial,Public
0,530.0,0.0,0.0
1,518.0,0.0,0.0
2,554.0,0.0,0.0
3,670.0,0.0,0.0
4,497.0,0.0,0.0
5,408.0,0.0,0.0
6,384.0,0.0,0.0
7,174.0,0.0,0.0
8,200.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,185.0,0.0,0.0
16,50.0,0.0,0.0
17,130.0,0.0,0.0
18,714.0,0.0,0.0
19,2283.0,0.0,0.0
20,2186.0,0.0,0.0
21,2255.0,0.0,0.0
22,926.0,0.0,0.0
23,616.0,0.0,0.0
24,675.0,0.0,0.0
25,615.0,0.0,0.0
26,664.0,0.0,0.0
27,620.0,0.0,0.0
28,625.0,0.0,0.0
29,372.0,0.0,0.0
30,378.0,0.0,0.0
31,297.0,0.0,0.0
32,170.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,195.0,0.0,0.0
40,30.0,0.0,0.0
41,97.0,0.0,0.0
42,689.0,0.0,0.0
43,2271.0,0.0,0.0
44,2281.0,0.0,0.0
45,2294.0,0.0,0.0
46,993.0,0.0,0.0
47,611.0,0.0,0.0
48,558.0,0.0,0.0
49,528.0,0.0,0.0
50,546.0,0.0,0.0
51,593.0,0.0,0.0
52,597.0,0.0,0.0
53,354.0,0.0,0.0
54,384.0,0.0,0.0
55,244.0,0.0,0.0
56,185.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,190.0,0.0,0.0
64,50.0,0.0,0.0
65,101.0,0.0,0.0
66,738.0,0.0,0.0
67,2262.0,0.0,0.0
68,2289.0,0.0,0.0
69,2176.0,0.0,0.0
70,1011.0,0.0,0.0
71,707.0,0.0,0.0
72,566.0,0.0,0.0
73,481.0,0.0,0.0
74,634.0,0.0,0.0
75,530.0,0.0,0.0
76,600.0,0.0,0.0
77,360.0,0.0,0.0
78,312.0,0.0,0.0
79,209.0,0.0,0.0
80,175.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,200.0,0.0,0.0
88,40.0,0.0,0.0
89,91.0,0.0,0.0
90,737.0,0.0,0.0
91,2231.0,0.0,0.0
92,2259.0,0.0,0.0
93,2269.0,0.0,0.0
94,1057.0,0.0,0.0
95,606.0,0.0,0.0
96,612.0,0.0,0.0
97,553.0,0.0,0.0
98,612.0,0.0,0.0
99,553.0,0.0,0.0
100,658.0,0.0,0.0
101,366.0,0.0,0.0
102,420.0,0.0,0.0
103,229.0,0.0,0.0
104,235.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,190.0,0.0,0.0
112,15.0,0.0,0.0
113,91.0,0.0,0.0
114,675.0,0.0,0.0
115,2303.0,0.0,0.0
116,2277.0,0.0,0.0
117,2180.0,0.0,0.0
118,1070.0,0.0,0.0
119,660.0,0.0,0.0
120,665.0,0.0,0.0
121,673.0,0.0,0.0
122,581.0,0.0,0.0
123,653.0,0.0,0.0
124,611.0,0.0,0.0
125,390.0,0.0,0.0
126,330.0,0.0,0.0
127,252.0,0.0,0.0
128,185.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,200.0,0.0,0.0
136,15.0,0.0,0.0
137,112.0,0.0,0.0
138,761.0,0.0,0.0
139,2209.0,0.0,0.0
140,2281.0,0.0,0.0
141,2266.0,0.0,0.0
142,989.0,0.0,0.0
143,685.0,0.0,0.0
144,603.0,0.0,0.0
145,673.0,0.0,0.0
146,583.0,0.0,0.0
147,504.0,0.0,0.0
148,606.0,0.0,0.0
149,384.0,0.0,0.0
150,390.0,0.0,0.0
151,274.0,0.0,0.0
152,215.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,195.0,0.0,0.0
160,10.0,0.0,0.0
161,130.0,0.0,0.0
162,712.0,0.0,0.0
163,2307.0,0.0,0.0
164,2298.0,0.0,0.0
165,2261.0,0.0,0.0
166,912.0,0.0,0.0
167,547.0,0.0,0.0
168,594.0,0.0,0.0
169,645.0,0.0,0.0
170,494.0,0.0,0.0
