,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,2.0
37,2.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,3.0
55,3.0
56,3.0
57,3.0
58,3.0
59,3.0
60,3.0
61,3.0
62,3.0
63,3.0
64,3.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,3.0
71,4.0
72,4.0
73,4.0
74,4.0
75,4.0
76,4.0
77,4.0
78,4.0
79,4.0
80,4.0
81,4.0
82,4.0
83,4.0
84,4.0
85,4.0
86,4.0
87,4.0
88,4.0
89,5.0
90,5.0
91,5.0
92,5.0
93,5.0
94,5.0
95,5.0
96,5.0
97,5.0
98,5.0
99,5.0
100,5.0
101,5.0
102,5.0
103,5.0
104,5.0
105,5.0
106,6.0
107,6.0
108,6.0
109,6.0
110,6.0
111,6.0
112,6.0
113,6.0
114,6.0
115,6.0
116,6.0
117,6.0
118,6.0
119,6.0
120,6.0
121,6.0
122,7.0
123,7.0
124,7.0
125,7.0
126,7.0
127,7.0
128,7.0
129,7.0
130,7.0
131,7.0
132,7.0
133,7.0
134,7.0
135,7.0
136,7.0
137,7.0
138,7.0
139,8.0
140,8.0
141,8.0
142,8.0
143,8.0
144,8.0
145,8.0
146,8.0
147,8.0
148,8.0
149,8.0
150,8.0
151,8.0
152,8.0
153,8.0
154,8.0
155,9.0
156,9.0
157,9.0
158,9.0
159,9.0
160,9.0
161,9.0
162,9.0
163,9.0
164,9.0
165,9.0
166,9.0
167,9.0
168,9.0
169,9.0
170,9.0
171,9.0
172,10.0
173,10.0
174,10.0
175,10.0
176,10.0
177,10.0
178,10.0
179,10.0
180,10.0
181,10.0
182,10.0
183,10.0
184,10.0
185,10.0
186,10.0
187,10.0
188,11.0
189,11.0
190,11.0
191,11.0
192,11.0
193,11.0
194,11.0
195,11.0
196,11.0
197,11.0
198,11.0
199,11.0
200,11.0
201,11.0
202,11.0
203,11.0
204,12.0
205,12.0
206,12.0
207,12.0
208,12.0
209,12.0
210,12.0
211,12.0
212,12.0
213,12.0
214,12.0
215,12.0
216,12.0
217,12.0
218,12.0
219,12.0
220,13.0
221,13.0
222,13.0
223,13.0
224,13.0
225,13.0
226,13.0
227,13.0
228,13.0
229,13.0
230,13.0
231,13.0
232,13.0
233,13.0
234,13.0
235,13.0
236,14.0
237,14.0
238,14.0
239,14.0
240,14.0
241,14.0
242,14.0
243,14.0
244,14.0
245,14.0
246,14.0
247,14.0
248,14.0
249,14.0
250,14.0
251,15.0
252,15.0
253,15.0
254,15.0
255,15.0
256,15.0
257,15.0
258,15.0
259,15.0
260,15.0
261,15.0
262,15.0
263,15.0
264,15.0
265,15.0
266,15.0
267,16.0
268,16.0
269,16.0
270,16.0
271,16.0
272,16.0
273,16.0
274,16.0
275,16.0
276,16.0
277,16.0
278,16.0
279,16.0
280,16.0
281,16.0
282,17.0
283,17.0
284,17.0
285,17.0
286,17.0
287,17.0
288,17.0
289,17.0
290,17.0
291,17.0
292,17.0
293,17.0
294,17.0
295,17.0
296,17.0
297,17.0
298,18.0
299,18.0
300,18.0
301,18.0
302,18.0
303,18.0
304,18.0
305,18.0
306,18.0
307,18.0
308,18.0
309,18.0
310,18.0
311,18.0
312,18.0
313,19.0
314,19.0
315,19.0
316,19.0
317,19.0
318,19.0
319,19.0
320,19.0
321,19.0
322,19.0
323,19.0
324,19.0
325,19.0
326,19.0
327,19.0
328,20.0
329,20.0
330,20.0
331,20.0
332,20.0
333,20.0
334,20.0
335,20.0
336,20.0
337,20.0
338,20.0
339,20.0
340,20.0
341,20.0
342,20.0
343,21.0
344,21.0
345,21.0
346,21.0
347,21.0
348,21.0
349,21.0
350,21.0
351,21.0
352,21.0
353,21.0
354,21.0
355,21.0
356,21.0
357,21.0
358,21.0
359,22.0
360,22.0
361,22.0
362,22.0
363,22.0
364,22.0
365,22.0
366,22.0
367,22.0
368,22.0
369,22.0
370,22.0
371,22.0
372,22.0
373,22.0
374,23.0
375,23.0
376,23.0
377,23.0
378,23.0
379,23.0
380,23.0
381,23.0
382,23.0
383,23.0
384,23.0
385,23.0
386,23.0
387,23.0
388,23.0
389,24.0
390,24.0
391,24.0
392,24.0
393,24.0
394,24.0
395,24.0
396,24.0
397,24.0
398,24.0
399,24.0
400,24.0
401,24.0
402,24.0
403,24.0
404,25.0
405,25.0
406,25.0
407,25.0
408,25.0
409,25.0
410,25.0
411,25.0
412,25.0
413,25.0
414,25.0
415,25.0
416,25.0
417,25.0
418,25.0
419,26.0
420,26.0
421,26.0
422,26.0
423,26.0
424,26.0
425,26.0
426,26.0
427,26.0
428,26.0
429,26.0
430,26.0
431,26.0
432,26.0
433,26.0
434,27.0
435,27.0
436,27.0
437,27.0
438,27.0
439,27.0
440,27.0
441,27.0
442,27.0
443,27.0
444,27.0
445,27.0
446,27.0
447,27.0
448,28.0
449,28.0
450,28.0
451,28.0
452,28.0
453,28.0
454,28.0
455,28.0
456,28.0
457,28.0
458,28.0
459,28.0
460,28.0
461,28.0
462,28.0
463,29.0
464,29.0
465,29.0
466,29.0
467,29.0
468,29.0
469,29.0
470,29.0
471,29.0
472,29.0
473,29.0
474,29.0
475,29.0
476,29.0
477,29.0
478,30.0
479,30.0
480,30.0
481,30.0
482,30.0
483,30.0
484,30.0
485,30.0
486,30.0
487,30.0
488,30.0
489,30.0
490,30.0
491,30.0
492,30.0
493,31.0
494,31.0
495,31.0
496,31.0
497,31.0
498,31.0
499,31.0
500,31.0
501,31.0
502,31.0
503,31.0
504,31.0
505,31.0
506,31.0
507,31.0
508,32.0
509,32.0
510,32.0
511,32.0
512,32.0
513,32.0
514,32.0
515,32.0
516,32.0
517,32.0
518,32.0
519,32.0
520,32.0
521,32.0
522,32.0
523,33.0
524,33.0
525,33.0
526,33.0
527,33.0
528,33.0
529,33.0
530,33.0
531,33.0
532,33.0
533,33.0
534,33.0
535,33.0
536,33.0
537,33.0
538,34.0
539,34.0
540,34.0
541,34.0
542,34.0
543,34.0
544,34.0
545,34.0
546,34.0
547,34.0
548,34.0
549,34.0
550,34.0
551,34.0
552,34.0
553,35.0
554,35.0
555,35.0
556,35.0
557,35.0
558,35.0
559,35.0
560,35.0
561,35.0
562,35.0
563,35.0
564,35.0
565,35.0
566,35.0
567,35.0
568,36.0
569,36.0
570,36.0
571,36.0
