,0
0,60
1,54
2,61
3,66
4,48
5,34
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,79
19,300
20,300
21,300
22,84
23,61
0,70
1,60
2,69
3,62
4,62
5,27
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,81
19,300
20,300
21,300
22,87
23,58
0,56
1,53
2,49
3,64
4,61
5,27
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,93
23,75
0,64
1,50
2,63
3,54
4,64
5,30
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,101
23,67
0,64
1,57
2,59
3,65
4,70
5,29
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,301
20,301
21,301
22,93
23,68
0,68
1,68
2,67
3,64
4,72
5,27
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,301
20,301
21,301
22,85
23,78
0,60
1,71
2,59
3,48
4,61
5,34
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,69
19,301
20,301
21,301
22,87
23,52
0,67
1,62
2,43
3,56
4,66
5,27
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,301
20,301
21,301
22,87
23,46
0,68
1,54
2,61
3,61
4,63
5,30
6,42
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,302
20,302
21,302
22,82
23,60
0,69
1,50
2,51
3,64
4,58
5,33
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,302
20,302
21,302
22,86
23,60
0,64
1,62
2,55
3,44
4,63
5,24
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,100
19,302
20,302
21,302
22,89
23,67
0,63
1,65
2,74
3,63
4,59
5,32
6,44
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,303
20,303
21,303
22,83
23,73
0,56
1,62
2,56
3,64
4,71
5,25
6,38
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,76
19,303
20,303
21,303
22,99
23,60
0,56
1,60
2,54
3,50
4,58
5,23
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,83
19,303
20,303
21,303
22,93
23,57
0,61
1,56
2,47
3,52
4,61
5,25
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,303
20,303
21,303
22,88
23,65
0,69
1,48
2,64
3,62
4,70
5,29
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,304
20,304
21,304
22,97
23,59
0,56
1,59
2,72
3,65
4,62
5,31
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,110
19,304
20,304
21,304
22,99
23,69
0,67
1,62
2,57
3,65
4,60
5,30
6,40
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,81
19,304
20,304
21,304
22,95
23,53
0,56
1,63
2,52
3,70
4,58
5,30
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,96
19,304
20,304
21,304
22,82
23,65
0,66
1,54
2,60
3,73
4,68
5,41
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,305
20,305
21,305
22,96
23,64
0,52
1,69
2,56
3,63
4,67
5,33
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,305
20,305
21,305
22,106
23,72
0,61
1,53
2,69
3,63
4,53
5,33
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,305
20,305
21,305
22,85
23,63
0,59
1,68
2,64
3,64
4,55
5,25
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,83
19,306
20,306
21,306
22,90
23,65
0,65
1,58
2,57
3,51
4,60
5,30
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,306
20,306
21,306
22,83
23,63
0,66
1,68
2,67
3,59
4,65
5,23
6,36
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,306
20,306
21,306
22,87
23,53
0,62
1,68
2,59
3,67
4,64
5,29
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,101
19,306
20,306
21,306
22,89
23,56
0,60
1,60
2,58
3,69
4,75
5,36
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,307
20,307
21,307
22,95
23,49
0,52
1,61
2,55
3,57
4,69
5,30
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,84
19,307
20,307
21,307
22,90
23,62
0,61
1,65
2,71
3,54
4,63
5,35
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,307
20,307
21,307
22,91
23,60
0,77
1,71
2,59
3,50
4,59
5,25
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,308
20,308
21,308
22,87
23,57
0,57
1,60
2,50
3,68
4,51
5,26
6,20
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,308
20,308
21,308
22,95
23,61
0,61
1,56
2,61
3,52
4,70
5,31
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,308
20,308
21,308
22,79
23,61
0,65
1,48
2,60
3,63
4,54
5,33
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,308
20,308
21,308
22,91
23,70
0,58
1,57
2,76
3,68
4,61
5,29
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,309
20,309
21,309
22,96
23,68
0,56
1,63
2,62
3,58
4,69
5,24
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,309
20,309
21,309
22,85
23,55
0,66
1,54
2,53
3,68
4,64
5,34
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,78
19,309
20,309
21,309
22,90
23,66
0,65
1,76
2,73
3,65
4,65
5,28
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,310
20,310
21,310
22,93
23,63
0,65
1,65
2,64
3,69
4,60
5,28
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,105
19,310
20,310
21,310
22,95
23,66
0,59
1,58
2,63
3,62
4,74
5,29
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,107
19,310
20,310
21,310
22,87
23,76
0,67
1,57
2,60
3,54
4,72
5,35
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,83
19,310
20,310
21,310
22,105
23,77
0,53
1,56
2,70
3,60
4,77
5,27
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,311
20,311
21,311
22,100
23,69
0,62
1,62
2,63
3,71
4,69
5,31
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,311
20,311
21,311
22,104
23,57
0,51
1,57
2,75
3,55
4,59
5,29
6,36
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,311
20,311
21,311
22,90
23,57
0,54
1,69
2,63
3,52
4,65
5,28
6,42
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,100
19,312
20,312
21,312
22,95
23,57
0,54
1,70
2,57
3,57
4,67
5,46
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,101
19,312
20,312
21,312
22,95
23,54
0,66
1,60
2,70
3,82
4,65
5,23
6,45
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,312
20,312
21,312
22,96
23,60
0,67
1,65
2,64
3,50
4,61
