,0
0,4
1,4
2,4
3,8
4,7
5,0
6,0
7,30
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,10
17,26
18,24
19,51
20,40
21,49
22,52
23,8
0,9
1,9
2,8
3,10
4,11
5,0
6,0
7,45
8,34
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,6
17,17
18,19
19,45
20,53
21,52
22,51
23,7
0,6
1,6
2,6
3,7
4,3
5,0
6,0
7,44
8,37
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,10
17,19
18,18
19,54
20,51
21,44
22,45
23,7
0,4
1,5
2,8
3,4
4,6
5,0
6,0
7,31
8,35
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,8
17,17
18,13
19,49
20,51
21,53
22,53
23,6
0,6
1,5
2,6
3,5
4,8
5,0
6,0
7,35
8,47
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,3
17,17
18,15
19,55
20,51
21,40
22,52
23,6
0,7
1,11
2,1
3,13
4,7
5,0
6,0
7,42
8,37
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,3
17,20
18,13
19,41
20,47
21,50
22,49
23,5
0,3
1,5
2,5
3,6
4,6
5,0
6,0
7,44
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,2
17,26
18,26
19,51
20,54
21,49
22,48
23,5
0,6
1,3
2,4
3,6
4,3
5,0
6,0
7,34
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,36
16,3
17,15
18,19
19,46
20,54
21,56
22,46
23,4
0,5
1,10
2,2
3,8
4,8
5,0
6,0
7,37
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,7
17,19
18,22
19,50
20,48
21,46
22,48
23,5
0,4
1,6
2,5
3,9
4,10
5,0
6,0
7,58
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,9
17,21
18,25
19,49
20,50
21,52
22,47
23,4
0,8
1,6
2,1
3,8
4,4
5,0
6,0
7,37
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,5
17,20
18,17
19,50
20,47
21,43
22,48
23,4
0,8
1,5
2,6
3,7
4,2
5,0
6,0
7,37
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,31
16,7
17,22
18,31
19,48
20,52
21,52
22,54
23,6
0,4
1,4
2,7
3,7
4,5
5,0
6,0
7,45
8,32
9,0
10,0
11,0
12,0
13,0
14,0
15,42
16,5
17,20
18,21
19,54
20,45
21,50
22,56
23,6
0,5
1,6
2,5
3,3
4,6
5,0
6,0
7,41
8,48
9,0
10,0
11,0
12,0
13,0
14,0
15,43
16,6
17,23
18,23
19,43
20,55
21,43
22,46
23,4
0,9
1,2
2,3
3,7
4,3
5,0
6,0
7,46
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,7
17,31
18,24
19,54
20,51
21,41
22,54
23,10
0,7
1,6
2,2
3,4
4,7
5,0
6,0
7,49
8,44
9,0
10,0
11,0
12,0
13,0
14,0
15,33
16,5
17,21
18,20
19,47
20,48
21,50
22,48
23,7
0,4
1,9
2,5
3,5
4,3
5,0
6,0
7,36
8,34
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,7
17,18
18,18
19,51
20,52
21,56
22,57
23,6
0,5
1,8
2,4
3,9
4,5
5,0
6,0
7,46
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,6
17,19
18,17
19,53
20,46
21,59
22,44
23,3
0,4
1,5
2,2
3,8
4,6
5,0
6,0
7,50
8,45
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,6
17,15
18,18
19,43
20,54
21,47
22,58
23,6
0,6
1,7
2,2
3,5
4,3
5,0
6,0
7,39
8,35
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,3
17,24
18,19
19,49
20,45
21,53
22,52
23,5
0,6
1,6
2,4
3,6
4,5
5,0
6,0
7,48
8,33
9,0
10,0
11,0
12,0
13,0
14,0
15,47
16,1
17,17
18,14
19,44
20,45
21,55
22,54
23,8
0,6
1,8
2,5
3,4
4,2
5,0
6,0
7,54
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,6
17,20
18,21
19,62
20,42
21,43
22,52
23,7
0,8
1,7
2,8
3,8
4,5
5,0
6,0
7,37
8,44
9,0
10,0
11,0
12,0
13,0
14,0
15,31
16,4
17,18
18,16
19,60
20,47
21,48
22,55
23,7
0,8
1,0
2,8
3,4
4,5
5,0
6,0
7,38
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,4
17,22
18,19
19,49
20,45
21,45
22,53
23,9
0,6
1,6
2,8
3,5
4,7
5,0
6,0
7,44
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,7
17,21
18,24
19,56
20,53
21,55
22,53
23,4
0,8
1,9
2,8
3,7
4,4
5,0
6,0
7,37
8,34
9,0
10,0
11,0
12,0
13,0
14,0
15,42
16,7
17,23
18,28
19,57
20,52
21,49
22,47
23,7
0,6
1,1
2,7
3,5
4,5
5,0
6,0
7,42
8,51
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,8
17,22
18,23
19,47
20,46
21,59
22,55
23,2
0,6
1,5
2,6
3,2
4,12
5,0
6,0
7,42
8,32
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,5
17,19
18,17
19,51
20,60
21,55
22,46
23,10
0,6
1,6
2,6
3,9
4,7
5,0
6,0
7,44
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,43
16,5
17,16
18,23
19,55
20,54
21,50
22,51
23,5
0,6
1,5
2,10
3,8
4,10
5,0
6,0
7,32
8,42
9,0
10,0
11,0
12,0
13,0
14,0
15,43
16,5
17,24
18,14
19,56
20,52
21,61
22,46
23,5
0,7
1,2
2,4
3,7
4,3
5,0
6,0
7,48
8,32
9,0
10,0
11,0
12,0
13,0
14,0
15,35
16,7
17,18
18,25
19,53
20,55
21,50
22,44
23,3
0,6
1,5
2,7
3,8
4,5
5,0
6,0
7,47
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,35
16,4
17,22
18,20
19,51
20,54
21,45
22,56
23,2
0,4
1,5
2,7
3,6
4,9
5,0
6,0
7,42
8,52
9,0
10,0
11,0
12,0
13,0
14,0
15,43
16,6
17,21
18,18
19,48
20,50
21,53
22,52
23,4
0,2
1,7
2,4
3,10
4,10
5,0
6,0
7,42
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,3
17,24
18,13
19,46
20,43
21,53
22,52
23,6
0,7
1,10
2,7
3,10
4,10
5,0
6,0
7,38
8,35
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,4
17,28
18,26
19,52
20,57
21,56
22,53
23,4
0,8
1,3
2,9
3,7
4,7
5,0
6,0
7,39
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,48
16,4
17,24
18,15
19,56
20,49
21,48
22,52
23,6
0,4
1,8
2,8
3,3
4,7
5,0
6,0
7,46
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,46
16,8
17,22
18,21
19,46
20,55
21,48
22,50
23,8
0,7
1,7
2,6
3,7
4,11
5,0
6,0
7,41
8,37
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,2
17,23
18,19
19,53
20,54
21,51
22,46
23,7
0,9
1,6
2,6
3,6
4,5
5,0
6,0
7,35
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,9
17,17
18,23
19,58
20,44
21,64
22,58
23,3
0,6
1,9
2,4
3,9
4,7
5,0
6,0
7,47
8,46
9,0
10,0
11,0
12,0
13,0
14,0
15,47
16,6
17,22
18,21
19,47
20,56
21,47
22,55
23,6
0,3
1,7
2,5
3,9
4,4
5,0
6,0
7,39
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,47
16,12
17,24
18,27
19,44
20,56
21,53
22,66
23,9
0,5
1,5
2,8
3,5
4,7
5,0
6,0
7,39
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,9
17,29
18,21
19,61
20,48
21,49
22,47
23,7
0,5
1,5
2,5
3,3
4,6
5,0
6,0
7,48
8,46
9,0
10,0
11,0
12,0
13,0
14,0
15,43
16,6
17,23
18,23
19,52
20,44
21,52
22,54
23,5
0,6
1,7
2,4
3,9
4,7
5,0
6,0
7,48
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,8
17,10
18,14
19,52
20,47
21,49
22,57
23,8
0,9
1,10
2,12
3,5
4,10
5,0
6,0
7,41
8,48
9,0
10,0
11,0
12,0
13,0
14,0
15,54
16,6
17,15
18,26
19,47
20,51
21,46
22,55
23,7
0,4
1,7
2,5
3,7
4,7
5,0
6,0
7,48
8,51
9,0
10,0
11,0
12,0
13,0
14,0
15,36
16,7
17,20
18,19
19,54
20,49
21,60
22,60
23,10
0,8
1,7
2,9
3,4
4,3
5,0
6,0
7,52
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,41
16,6
17,20
18,27
19,52
20,46
21,48
22,50
23,6
0,7
1,7
2,6
3,10
4,7
5,0
6,0
7,57
8,36
9,0
10,0
11,0
12,0
13,0
14,0
15,34
16,4
17,15
18,17
19,56
20,61
21,46
22,52
23,8
0,5
1,11
2,2
3,6
4,7
5,0
6,0
7,44
8,47
9,0
10,0
11,0
12,0
13,0
14,0
15,44
16,2
17,19
18,23
19,55
20,48
21,49
22,53
23,9
0,4
1,5
2,6
3,8
4,2
5,0
6,0
7,43
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,48
16,2
17,18
18,20
19,57
20,42
21,59
22,43
23,5
0,3
1,4
2,9
3,11
4,6
5,0
6,0
7,45
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,52
16,9
17,10
18,19
19,55
20,57
21,45
22,49
23,7
0,7
1,6
2,10
3,6
4,9
5,0
6,0
7,48
8,35
9,0
10,0
11,0
12,0
13,0
14,0
15,33
16,8
17,30
18,24
19,54
20,43
21,57
22,63
23,5
0,5
1,4
2,4
3,5
4,4
5,0
6,0
7,38
8,46
9,0
10,0
11,0
12,0
13,0
14,0
15,46
16,11
17,25
18,22
19,59
20,61
21,49
22,51
23,8
0,3
1,5
2,13
3,10
4,7
5,0
6,0
7,46
8,39
9,0
10,0
11,0
12,0
13,0
