,0
0,25
1,29
2,28
3,39
4,29
5,34
6,37
7,4
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,20
19,38
20,31
21,35
22,27
23,35
0,35
1,35
2,35
3,33
4,33
5,35
6,38
7,12
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,18
19,41
20,36
21,39
22,36
23,38
0,32
1,30
2,37
3,29
4,36
5,32
6,37
7,4
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,21
19,32
20,39
21,26
22,38
23,37
0,27
1,26
2,36
3,31
4,31
5,30
6,29
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,19
19,31
20,34
21,34
22,31
23,29
0,33
1,31
2,38
3,23
4,33
5,32
6,38
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,18
19,37
20,36
21,29
22,42
23,37
0,37
1,35
2,29
3,34
4,24
5,38
6,27
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,25
19,33
20,40
21,35
22,39
23,32
0,38
1,37
2,34
3,31
4,35
5,30
6,30
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,28
19,41
20,37
21,35
22,25
23,35
0,27
1,43
2,36
3,35
4,29
5,32
6,33
7,10
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,28
19,38
20,41
21,45
22,40
23,29
0,35
1,28
2,38
3,29
4,35
5,37
6,29
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,33
20,43
21,42
22,37
23,34
0,40
1,37
2,27
3,37
4,32
5,41
6,35
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,20
19,42
20,43
21,34
22,29
23,42
0,30
1,35
2,31
3,38
4,33
5,31
6,31
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,13
19,37
20,39
21,36
22,26
23,28
0,33
1,36
2,37
3,27
4,27
5,36
6,28
7,4
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,4
18,27
19,38
20,45
21,37
22,34
23,33
0,29
1,33
2,30
3,43
4,36
5,32
6,27
7,14
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,27
19,36
20,22
21,37
22,30
23,31
0,34
1,30
2,39
3,34
4,30
5,35
6,40
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,15
19,27
20,41
21,36
22,35
23,32
0,37
1,37
2,33
3,35
4,39
5,33
6,30
7,10
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
