,Domestic,Commercial,Public
0,622.0,0.0,0.0
1,653.0,0.0,0.0
2,527.0,0.0,0.0
3,504.0,0.0,0.0
4,521.0,0.0,0.0
5,414.0,0.0,0.0
6,396.0,0.0,0.0
7,316.0,0.0,0.0
8,205.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,225.0,0.0,0.0
16,15.0,0.0,0.0
17,138.0,0.0,0.0
18,726.0,0.0,0.0
19,2238.0,0.0,0.0
20,2181.0,0.0,0.0
21,2264.0,0.0,0.0
22,968.0,0.0,0.0
23,614.0,0.0,0.0
24,542.0,0.0,0.0
25,526.0,0.0,0.0
26,651.0,0.0,0.0
27,530.0,0.0,0.0
28,512.0,0.0,0.0
29,432.0,0.0,0.0
30,384.0,0.0,0.0
31,235.0,0.0,0.0
32,210.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,175.0,0.0,0.0
40,35.0,0.0,0.0
41,141.0,0.0,0.0
42,817.0,0.0,0.0
43,2275.0,0.0,0.0
44,2301.0,0.0,0.0
45,2293.0,0.0,0.0
46,1006.0,0.0,0.0
47,643.0,0.0,0.0
48,682.0,0.0,0.0
49,620.0,0.0,0.0
50,614.0,0.0,0.0
51,524.0,0.0,0.0
52,585.0,0.0,0.0
53,408.0,0.0,0.0
54,348.0,0.0,0.0
55,284.0,0.0,0.0
56,195.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,200.0,0.0,0.0
64,30.0,0.0,0.0
65,102.0,0.0,0.0
66,765.0,0.0,0.0
67,2275.0,0.0,0.0
68,2299.0,0.0,0.0
69,2233.0,0.0,0.0
70,907.0,0.0,0.0
71,555.0,0.0,0.0
72,611.0,0.0,0.0
73,601.0,0.0,0.0
74,565.0,0.0,0.0
75,552.0,0.0,0.0
76,489.0,0.0,0.0
77,342.0,0.0,0.0
78,312.0,0.0,0.0
79,247.0,0.0,0.0
80,215.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,195.0,0.0,0.0
88,45.0,0.0,0.0
89,95.0,0.0,0.0
90,698.0,0.0,0.0
91,2190.0,0.0,0.0
92,2291.0,0.0,0.0
93,2303.0,0.0,0.0
94,1023.0,0.0,0.0
95,619.0,0.0,0.0
96,578.0,0.0,0.0
97,607.0,0.0,0.0
98,608.0,0.0,0.0
99,643.0,0.0,0.0
100,550.0,0.0,0.0
101,372.0,0.0,0.0
102,336.0,0.0,0.0
103,277.0,0.0,0.0
104,215.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,190.0,0.0,0.0
112,40.0,0.0,0.0
113,86.0,0.0,0.0
114,794.0,0.0,0.0
115,2273.0,0.0,0.0
116,2326.0,0.0,0.0
117,2220.0,0.0,0.0
118,1033.0,0.0,0.0
119,607.0,0.0,0.0
120,658.0,0.0,0.0
121,570.0,0.0,0.0
122,608.0,0.0,0.0
123,657.0,0.0,0.0
124,566.0,0.0,0.0
125,354.0,0.0,0.0
126,354.0,0.0,0.0
127,220.0,0.0,0.0
128,170.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,205.0,0.0,0.0
136,15.0,0.0,0.0
137,90.0,0.0,0.0
138,744.0,0.0,0.0
139,2298.0,0.0,0.0
140,2259.0,0.0,0.0
141,2239.0,0.0,0.0
142,1036.0,0.0,0.0
143,643.0,0.0,0.0
144,601.0,0.0,0.0
145,604.0,0.0,0.0
146,619.0,0.0,0.0
147,606.0,0.0,0.0
148,555.0,0.0,0.0
149,378.0,0.0,0.0
150,456.0,0.0,0.0
151,294.0,0.0,0.0
152,255.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
