,0
0,72
1,65
2,52
3,49
4,54
5,30
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,300
20,300
21,300
22,86
23,63
0,58
1,56
2,68
3,57
4,53
5,30
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,93
23,68
0,68
1,70
2,58
3,54
4,60
5,38
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,80
23,56
0,64
1,68
2,59
3,53
4,49
5,25
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,300
20,300
21,300
22,102
23,58
0,61
1,61
2,62
3,71
4,62
5,28
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,301
20,301
21,301
22,99
23,64
0,64
1,59
2,58
3,65
4,54
5,30
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,301
20,301
21,301
22,107
23,65
0,56
1,63
2,55
3,59
4,62
5,30
6,38
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,301
20,301
21,301
22,81
23,54
0,62
1,57
2,53
3,53
4,72
5,36
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,301
20,301
21,301
22,97
23,46
0,56
1,69
2,61
3,61
4,58
5,22
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,302
20,302
21,302
22,93
23,67
0,63
1,65
2,64
3,73
4,57
5,31
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,79
19,302
20,302
21,302
22,90
23,56
0,59
1,59
2,62
3,59
4,62
5,34
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,302
20,302
21,302
22,95
23,58
0,59
1,66
2,47
3,57
4,64
5,33
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,303
20,303
21,303
22,94
23,73
0,44
1,66
2,67
3,66
4,52
5,25
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,303
20,303
21,303
22,80
23,69
0,58
1,63
2,72
3,58
4,73
5,33
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,303
20,303
21,303
22,101
23,63
0,54
1,56
2,46
3,54
4,57
5,28
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,303
20,303
21,303
22,95
23,62
0,51
1,60
2,58
3,45
4,55
5,24
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,304
20,304
21,304
22,72
23,69
0,53
1,57
2,54
3,60
4,68
5,19
6,34
7,0
8,0
9,0
