,0
0,8
1,7
2,7
3,6
4,7
5,0
6,0
7,50
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,3
17,24
18,24
19,48
20,45
21,52
22,46
23,10
0,4
1,2
2,9
3,4
4,4
5,0
6,0
7,35
8,42
9,0
10,0
11,0
12,0
13,0
14,0
15,35
16,7
17,27
18,23
19,47
20,57
21,53
22,44
23,5
0,8
1,4
2,4
3,4
4,3
5,0
6,0
7,46
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,6
17,18
18,15
19,53
20,53
21,53
22,53
23,9
0,7
1,5
2,5
3,12
4,9
5,0
6,0
7,41
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,9
17,19
18,16
19,42
20,55
21,49
22,45
23,5
0,4
1,5
2,4
3,5
4,2
5,0
6,0
7,47
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,8
17,16
18,22
19,49
20,50
21,48
22,53
23,5
0,8
1,6
2,4
3,9
4,4
5,0
6,0
7,38
8,34
9,0
10,0
11,0
12,0
13,0
14,0
15,41
16,3
17,18
18,18
19,54
20,57
21,47
22,50
23,5
0,11
1,8
2,5
3,6
4,3
5,0
6,0
7,48
8,51
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,7
17,14
18,13
19,49
20,49
21,47
22,45
23,3
0,5
1,7
2,5
3,5
4,6
5,0
6,0
7,41
8,35
9,0
10,0
11,0
12,0
13,0
14,0
15,41
16,3
17,25
18,14
19,35
20,44
21,51
22,54
23,4
0,8
1,3
2,1
3,11
4,6
5,0
6,0
7,45
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,2
17,19
18,21
19,49
20,50
21,52
22,34
23,8
0,9
1,6
2,9
3,10
4,7
5,0
6,0
7,35
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,5
17,23
18,19
19,52
20,52
21,47
22,53
23,4
0,9
1,4
2,5
3,7
4,2
5,0
6,0
7,35
8,35
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,5
17,21
18,27
19,49
20,45
21,42
22,42
23,6
0,7
1,7
2,8
3,6
4,5
5,0
6,0
7,41
8,42
9,0
10,0
11,0
12,0
13,0
14,0
15,43
16,5
17,28
18,17
19,43
20,54
21,54
22,46
23,9
0,8
1,8
2,7
3,2
4,8
5,0
6,0
7,34
8,28
9,0
10,0
11,0
12,0
13,0
14,0
15,55
16,5
17,26
18,18
19,55
20,49
21,42
22,50
23,2
0,8
1,4
2,3
3,2
4,6
5,0
6,0
7,47
8,34
9,0
10,0
11,0
12,0
13,0
14,0
15,34
16,7
17,16
18,23
19,48
20,49
21,44
22,52
23,6
0,8
1,5
2,8
3,5
4,7
5,0
6,0
7,39
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,49
16,4
17,22
18,18
19,50
20,53
21,59
22,50
23,2
0,4
1,7
2,7
3,5
4,4
5,0
6,0
7,32
8,51
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,8
17,23
18,23
19,47
20,57
21,51
22,54
23,9
0,3
1,3
2,6
3,7
4,5
5,0
6,0
7,35
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,9
17,25
18,21
19,45
20,49
21,55
22,51
23,3
0,8
1,8
2,9
3,9
4,4
5,0
6,0
7,47
8,45
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,9
17,18
18,22
19,51
20,44
21,59
22,58
23,5
0,8
1,7
2,6
3,3
4,9
5,0
6,0
7,37
8,42
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,6
17,27
18,17
19,48
20,45
21,49
22,47
23,8
0,11
1,6
2,7
3,4
4,3
5,0
6,0
7,47
8,31
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,6
17,19
18,19
19,60
20,42
21,55
22,55
23,12
0,4
1,7
2,5
3,6
4,3
5,0
6,0
7,40
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,41
16,6
17,22
18,18
19,53
20,44
21,50
22,52
23,4
0,10
1,4
2,6
3,9
4,5
5,0
6,0
7,41
8,42
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,6
17,11
18,23
19,51
20,48
21,59
22,52
23,8
0,5
1,10
2,8
3,10
4,7
5,0
6,0
7,32
8,35
9,0
10,0
11,0
12,0
13,0
14,0
15,42
16,6
17,21
18,21
19,50
20,47
21,55
22,46
23,4
0,5
1,6
2,7
3,4
4,8
5,0
6,0
7,42
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,41
16,7
17,20
18,32
19,57
20,56
21,49
22,50
23,7
0,5
1,0
2,6
3,3
4,6
5,0
6,0
7,39
8,36
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,6
17,20
18,19
19,49
20,60
21,54
22,51
23,7
0,7
1,5
2,8
3,6
4,4
5,0
6,0
7,46
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,47
16,9
17,26
18,21
19,53
20,53
21,55
22,46
23,4
0,4
1,8
2,5
3,6
4,10
5,0
6,0
7,31
8,48
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,4
17,16
18,18
19,53
20,57
21,52
22,44
23,6
0,6
1,4
2,4
3,9
4,8
5,0
6,0
7,37
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,4
17,25
18,16
19,41
20,54
21,46
22,51
23,6
0,8
1,6
2,14
3,6
4,9
5,0
6,0
7,41
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,1
17,20
18,16
19,53
20,50
21,43
22,45
23,2
0,8
1,4
2,5
3,3
4,10
5,0
6,0
7,38
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,5
17,17
18,16
19,51
20,55
21,52
22,49
23,8
0,11
