,Domestic,Commercial,Public
0,590.0,0.0,0.0
1,611.0,0.0,0.0
2,592.0,0.0,0.0
3,561.0,0.0,0.0
4,621.0,0.0,0.0
5,414.0,0.0,0.0
6,402.0,0.0,0.0
7,291.0,0.0,0.0
8,205.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,225.0,0.0,0.0
16,0.0,0.0,0.0
17,96.0,0.0,0.0
18,746.0,0.0,0.0
19,2259.0,0.0,0.0
20,2247.0,0.0,0.0
21,2255.0,0.0,0.0
22,975.0,0.0,0.0
23,471.0,0.0,0.0
24,606.0,0.0,0.0
25,560.0,0.0,0.0
26,596.0,0.0,0.0
27,744.0,0.0,0.0
28,556.0,0.0,0.0
29,336.0,0.0,0.0
30,402.0,0.0,0.0
31,270.0,0.0,0.0
32,185.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,180.0,0.0,0.0
40,30.0,0.0,0.0
41,121.0,0.0,0.0
42,828.0,0.0,0.0
43,2239.0,0.0,0.0
44,2270.0,0.0,0.0
45,2244.0,0.0,0.0
46,1028.0,0.0,0.0
47,665.0,0.0,0.0
48,540.0,0.0,0.0
49,571.0,0.0,0.0
50,636.0,0.0,0.0
51,597.0,0.0,0.0
52,573.0,0.0,0.0
53,462.0,0.0,0.0
54,390.0,0.0,0.0
55,263.0,0.0,0.0
56,265.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,175.0,0.0,0.0
64,35.0,0.0,0.0
65,105.0,0.0,0.0
66,710.0,0.0,0.0
67,2238.0,0.0,0.0
68,2237.0,0.0,0.0
69,2251.0,0.0,0.0
70,1017.0,0.0,0.0
71,596.0,0.0,0.0
72,611.0,0.0,0.0
73,621.0,0.0,0.0
74,665.0,0.0,0.0
75,651.0,0.0,0.0
76,605.0,0.0,0.0
77,354.0,0.0,0.0
78,420.0,0.0,0.0
79,241.0,0.0,0.0
80,180.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,200.0,0.0,0.0
88,30.0,0.0,0.0
89,105.0,0.0,0.0
90,796.0,0.0,0.0
91,2312.0,0.0,0.0
92,2258.0,0.0,0.0
