,Domestic,Commercial,Public
0,682.0,0.0,0.0
1,651.0,0.0,0.0
2,564.0,0.0,0.0
3,579.0,0.0,0.0
4,545.0,0.0,0.0
5,360.0,0.0,0.0
6,426.0,0.0,0.0
7,296.0,0.0,0.0
8,170.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,215.0,0.0,0.0
16,30.0,0.0,0.0
17,131.0,0.0,0.0
18,634.0,0.0,0.0
19,2273.0,0.0,0.0
20,2266.0,0.0,0.0
21,2245.0,0.0,0.0
22,991.0,0.0,0.0
23,664.0,0.0,0.0
24,649.0,0.0,0.0
25,512.0,0.0,0.0
26,702.0,0.0,0.0
27,633.0,0.0,0.0
28,562.0,0.0,0.0
29,348.0,0.0,0.0
30,360.0,0.0,0.0
31,254.0,0.0,0.0
32,205.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,160.0,0.0,0.0
40,20.0,0.0,0.0
41,146.0,0.0,0.0
42,743.0,0.0,0.0
43,2266.0,0.0,0.0
44,2232.0,0.0,0.0
45,2261.0,0.0,0.0
46,967.0,0.0,0.0
47,637.0,0.0,0.0
48,608.0,0.0,0.0
49,570.0,0.0,0.0
50,587.0,0.0,0.0
51,509.0,0.0,0.0
52,607.0,0.0,0.0
53,348.0,0.0,0.0
54,390.0,0.0,0.0
55,279.0,0.0,0.0
56,200.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,200.0,0.0,0.0
64,25.0,0.0,0.0
65,96.0,0.0,0.0
66,726.0,0.0,0.0
67,2258.0,0.0,0.0
68,2234.0,0.0,0.0
69,2304.0,0.0,0.0
70,987.0,0.0,0.0
71,559.0,0.0,0.0
72,581.0,0.0,0.0
73,531.0,0.0,0.0
74,602.0,0.0,0.0
75,672.0,0.0,0.0
76,585.0,0.0,0.0
77,300.0,0.0,0.0
78,384.0,0.0,0.0
79,267.0,0.0,0.0
80,190.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,190.0,0.0,0.0
88,15.0,0.0,0.0
89,132.0,0.0,0.0
90,719.0,0.0,0.0
91,2316.0,0.0,0.0
92,2300.0,0.0,0.0
93,2277.0,0.0,0.0
94,1082.0,0.0,0.0
95,612.0,0.0,0.0
96,610.0,0.0,0.0
97,578.0,0.0,0.0
98,599.0,0.0,0.0
99,713.0,0.0,0.0
100,684.0,0.0,0.0
101,402.0,0.0,0.0
102,390.0,0.0,0.0
103,248.0,0.0,0.0
104,205.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,205.0,0.0,0.0
112,35.0,0.0,0.0
113,76.0,0.0,0.0
114,761.0,0.0,0.0
115,2222.0,0.0,0.0
116,2280.0,0.0,0.0
117,2181.0,0.0,0.0
118,896.0,0.0,0.0
119,535.0,0.0,0.0
120,506.0,0.0,0.0
121,556.0,0.0,0.0
122,589.0,0.0,0.0
123,589.0,0.0,0.0
124,489.0,0.0,0.0
125,426.0,0.0,0.0
126,396.0,0.0,0.0
127,259.0,0.0,0.0
128,210.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,170.0,0.0,0.0
136,20.0,0.0,0.0
137,107.0,0.0,0.0
138,703.0,0.0,0.0
139,2341.0,0.0,0.0
140,2301.0,0.0,0.0
141,2243.0,0.0,0.0
142,1001.0,0.0,0.0
143,671.0,0.0,0.0
144,631.0,0.0,0.0
145,632.0,0.0,0.0
146,618.0,0.0,0.0
147,648.0,0.0,0.0
148,569.0,0.0,0.0
149,390.0,0.0,0.0
150,384.0,0.0,0.0
151,245.0,0.0,0.0
152,235.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,180.0,0.0,0.0
160,40.0,0.0,0.0
161,123.0,0.0,0.0
162,751.0,0.0,0.0
163,2243.0,0.0,0.0
164,2268.0,0.0,0.0
165,2253.0,0.0,0.0
166,1066.0,0.0,0.0
167,639.0,0.0,0.0
168,603.0,0.0,0.0
169,597.0,0.0,0.0
170,595.0,0.0,0.0
171,616.0,0.0,0.0
172,632.0,0.0,0.0
173,336.0,0.0,0.0
174,348.0,0.0,0.0
175,211.0,0.0,0.0
176,190.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,235.0,0.0,0.0
184,35.0,0.0,0.0
185,80.0,0.0,0.0
186,736.0,0.0,0.0
187,2325.0,0.0,0.0
188,2281.0,0.0,0.0
189,2283.0,0.0,0.0
190,1069.0,0.0,0.0
191,594.0,0.0,0.0
192,578.0,0.0,0.0
193,593.0,0.0,0.0
194,577.0,0.0,0.0
195,519.0,0.0,0.0
196,571.0,0.0,0.0
197,396.0,0.0,0.0
198,312.0,0.0,0.0
199,248.0,0.0,0.0
200,155.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,200.0,0.0,0.0
208,20.0,0.0,0.0
209,116.0,0.0,0.0
210,778.0,0.0,0.0
211,2323.0,0.0,0.0
212,2253.0,0.0,0.0
213,2294.0,0.0,0.0
214,1008.0,0.0,0.0
215,618.0,0.0,0.0
216,569.0,0.0,0.0
217,499.0,0.0,0.0
218,602.0,0.0,0.0
219,579.0,0.0,0.0
220,478.0,0.0,0.0
221,384.0,0.0,0.0
222,432.0,0.0,0.0
223,257.0,0.0,0.0
224,200.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,170.0,0.0,0.0
232,45.0,0.0,0.0
233,75.0,0.0,0.0
234,739.0,0.0,0.0
235,2299.0,0.0,0.0
236,2307.0,0.0,0.0
237,2253.0,0.0,0.0
238,1077.0,0.0,0.0
239,572.0,0.0,0.0
240,500.0,0.0,0.0
241,536.0,0.0,0.0
242,603.0,0.0,0.0
243,622.0,0.0,0.0
244,699.0,0.0,0.0
245,414.0,0.0,0.0
246,390.0,0.0,0.0
247,247.0,0.0,0.0
248,190.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,175.0,0.0,0.0
256,20.0,0.0,0.0
257,82.0,0.0,0.0
258,674.0,0.0,0.0
259,2314.0,0.0,0.0
260,2247.0,0.0,0.0
261,2207.0,0.0,0.0
262,1060.0,0.0,0.0
263,611.0,0.0,0.0
264,516.0,0.0,0.0
265,644.0,0.0,0.0
266,604.0,0.0,0.0
267,585.0,0.0,0.0
268,602.0,0.0,0.0
269,432.0,0.0,0.0
270,420.0,0.0,0.0
271,253.0,0.0,0.0
272,230.0,0.0,0.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0,0.0,0.0
277,0.0,0.0,0.0
278,0.0,0.0,0.0
279,210.0,0.0,0.0
280,45.0,0.0,0.0
281,120.0,0.0,0.0
282,798.0,0.0,0.0
283,2193.0,0.0,0.0
284,2218.0,0.0,0.0
285,2276.0,0.0,0.0
286,956.0,0.0,0.0
287,560.0,0.0,0.0
288,617.0,0.0,0.0
289,654.0,0.0,0.0
290,524.0,0.0,0.0
291,643.0,0.0,0.0
292,609.0,0.0,0.0
293,390.0,0.0,0.0
294,306.0,0.0,0.0
295,247.0,0.0,0.0
296,185.0,0.0,0.0
297,0.0,0.0,0.0
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
301,0.0,0.0,0.0
302,0.0,0.0,0.0
303,195.0,0.0,0.0
304,45.0,0.0,0.0
305,130.0,0.0,0.0
306,769.0,0.0,0.0
307,2260.0,0.0,0.0
308,2267.0,0.0,0.0
309,2252.0,0.0,0.0
310,900.0,0.0,0.0
311,581.0,0.0,0.0
312,537.0,0.0,0.0
313,581.0,0.0,0.0
314,579.0,0.0,0.0
315,623.0,0.0,0.0
316,594.0,0.0,0.0
317,414.0,0.0,0.0
318,474.0,0.0,0.0
319,284.0,0.0,0.0
320,165.0,0.0,0.0
321,0.0,0.0,0.0
322,0.0,0.0,0.0
323,0.0,0.0,0.0
324,0.0,0.0,0.0
325,0.0,0.0,0.0
326,0.0,0.0,0.0
327,175.0,0.0,0.0
328,25.0,0.0,0.0
329,102.0,0.0,0.0
330,821.0,0.0,0.0
331,2285.0,0.0,0.0
332,2266.0,0.0,0.0
333,2285.0,0.0,0.0
