,0
0,71
1,67
2,55
3,58
4,58
5,31
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,80
19,300
20,300
21,300
22,94
23,66
0,65
1,59
2,67
3,64
4,56
5,24
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,82
23,62
0,62
1,54
2,57
3,53
4,67
5,27
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,90
23,52
0,55
1,51
2,63
3,74
4,56
5,26
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,95
23,56
0,63
1,54
2,58
3,71
4,69
5,38
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,81
23,54
0,46
1,60
2,61
3,59
4,51
5,39
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,88
23,68
0,63
1,71
2,63
3,64
4,62
5,30
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,84
19,300
20,300
21,300
22,90
23,62
0,63
1,55
2,60
3,60
4,66
5,19
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,102
23,55
0,60
1,55
2,53
3,54
4,66
5,27
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,99
23,66
0,56
1,58
2,59
3,59
4,46
5,36
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,97
23,61
0,48
1,50
2,54
3,65
4,71
5,32
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,99
23,60
0,48
1,62
2,63
3,62
4,60
5,31
6,38
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,87
23,64
0,59
1,68
2,47
3,66
4,64
5,25
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,77
23,54
0,61
1,61
2,52
3,66
4,56
5,30
6,44
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,97
19,300
20,300
21,300
22,78
23,58
0,52
1,53
2,55
3,67
4,64
5,35
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
