,0
0,36
1,39
2,34
3,31
4,27
5,29
6,43
7,11
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,9
19,33
20,36
21,30
22,37
23,38
0,34
1,23
2,40
3,39
4,31
5,34
6,30
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,21
19,36
20,37
21,36
22,35
23,40
0,36
1,36
2,30
3,26
4,30
5,31
6,39
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,17
19,38
20,34
21,44
22,37
23,37
0,36
1,30
2,34
3,33
4,34
5,24
6,36
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,14
19,41
20,45
21,32
22,32
23,41
0,32
1,39
2,36
3,42
4,40
5,29
6,35
7,8
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,24
19,32
20,35
21,26
22,40
23,31
0,35
1,31
2,33
3,35
4,28
5,32
6,34
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,17
19,41
20,36
21,33
22,28
23,38
0,33
1,31
2,35
3,39
4,32
5,35
6,33
7,10
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,3
18,22
19,38
20,38
21,33
22,36
23,37
0,35
1,37
2,35
3,36
4,36
5,37
6,26
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,45
20,36
21,38
22,37
23,39
0,33
1,38
2,39
3,30
4,25
5,39
6,30
7,8
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,20
19,38
20,33
21,39
22,29
23,32
0,33
1,21
2,38
3,35
4,27
5,28
6,41
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,34
20,37
21,33
22,45
23,31
0,27
1,36
2,44
3,32
4,38
5,37
6,35
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,19
19,44
20,37
21,32
22,36
23,36
0,33
1,37
2,31
3,33
4,37
5,41
6,32
7,13
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,28
20,33
21,36
22,34
23,26
0,38
1,36
2,37
3,37
4,35
5,40
6,25
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,35
20,37
21,32
22,28
23,37
0,26
1,30
2,37
3,32
4,38
5,39
6,35
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,24
19,40
20,31
21,40
22,33
23,32
0,31
1,35
2,29
3,30
4,37
5,37
6,35
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,22
19,35
20,29
21,29
22,39
23,29
0,32
1,30
2,41
3,32
4,27
5,39
6,29
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,17
19,36
20,31
21,40
22,38
23,37
0,35
1,28
2,28
3,29
4,33
5,31
6,29
7,10
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,19
19,36
20,34
21,37
22,32
23,34
0,30
1,32
2,26
3,42
4,37
5,32
6,37
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,16
19,29
20,37
21,42
22,30
23,33
0,37
1,35
2,35
3,28
4,30
5,32
6,31
7,5
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,33
19,28
20,37
21,27
22,34
23,30
0,40
1,36
2,38
3,31
4,36
5,40
6,37
7,8
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,22
19,31
20,32
21,33
22,37
23,32
0,40
1,38
2,37
3,30
4,35
5,28
6,35
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,41
20,36
21,33
22,27
23,38
0,31
1,30
2,36
3,36
4,35
5,35
6,25
7,8
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,20
19,34
20,38
21,24
22,34
23,30
0,27
1,34
2,32
3,30
4,34
5,34
6,29
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,30
20,32
21,33
22,28
23,34
0,37
1,35
2,32
3,27
4,34
5,29
6,31
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,18
19,38
20,35
21,31
22,33
23,37
0,33
1,30
2,32
3,30
4,29
5,37
6,24
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,19
19,37
20,40
21,36
22,26
23,22
0,36
1,26
2,26
3,38
4,37
5,28
6,44
7,12
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,19
19,43
20,37
21,40
22,35
23,37
0,27
1,34
2,37
3,29
4,32
5,36
6,33
7,12
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,24
19,36
20,34
21,33
22,39
23,38
0,37
1,30
2,33
3,31
4,39
5,31
6,29
7,8
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,24
19,30
20,27
21,29
22,36
23,30
0,32
1,32
2,31
3,32
4,30
5,37
6,34
7,10
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,21
19,34
20,41
21,31
22,36
23,33
0,33
1,38
2,31
3,27
4,37
5,42
6,34
7,12
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,17
19,34
20,40
21,35
22,35
23,38
0,23
1,33
2,34
3,34
4,46
5,32
6,38
7,7
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,25
19,34
20,33
21,37
22,35
23,30
0,38
1,31
2,39
3,34
4,36
5,32
6,38
7,11
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,23
19,33
20,31
21,27
22,28
23,28
0,41
1,29
2,37
3,33
4,38
5,38
6,36
7,5
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,21
19,36
20,34
21,29
22,36
23,30
0,36
1,38
2,36
3,32
4,31
5,31
6,35
7,4
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,24
19,34
20,43
21,33
22,32
23,36
0,27
1,27
2,23
3,31
4,36
5,30
6,37
7,10
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,26
19,37
20,40
21,29
22,31
23,35
0,29
1,32
2,38
3,31
4,34
5,26
6,39
7,12
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,29
19,29
20,37
21,39
22,32
23,26
0,37
1,32
2,34
3,32
4,34
5,26
6,38
7,10
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,3
18,20
19,37
20,40
21,27
22,42
23,34
0,38
1,33
2,41
3,28
4,28
5,35
6,40
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,15
19,41
20,40
21,33
22,27
23,31
0,32
1,30
2,27
3,32
4,30
5,34
6,34
7,11
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,24
19,30
20,37
21,44
22,26
23,29
0,31
1,34
2,35
3,32
4,33
5,28
6,34
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,27
19,37
20,31
21,30
22,35
23,32
0,31
1,43
2,43
3,35
4,31
5,34
6,23
7,6
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,3
18,22
19,34
20,40
21,38
22,25
23,24
0,30
1,40
2,43
3,32
4,36
5,34
6,25
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
