,Domestic,Commercial,Public
0,583.0,0.0,0.0
1,533.0,0.0,0.0
2,625.0,0.0,0.0
3,599.0,0.0,0.0
4,649.0,0.0,0.0
5,336.0,0.0,0.0
6,366.0,0.0,0.0
7,212.0,0.0,0.0
8,180.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,235.0,0.0,0.0
16,20.0,0.0,0.0
17,126.0,0.0,0.0
18,767.0,0.0,0.0
19,2207.0,0.0,0.0
20,2274.0,0.0,0.0
21,2276.0,0.0,0.0
22,912.0,0.0,0.0
23,506.0,0.0,0.0
24,615.0,0.0,0.0
25,591.0,0.0,0.0
26,577.0,0.0,0.0
27,604.0,0.0,0.0
28,681.0,0.0,0.0
29,396.0,0.0,0.0
30,414.0,0.0,0.0
31,261.0,0.0,0.0
32,210.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,230.0,0.0,0.0
40,50.0,0.0,0.0
41,122.0,0.0,0.0
42,724.0,0.0,0.0
43,2297.0,0.0,0.0
44,2315.0,0.0,0.0
45,2229.0,0.0,0.0
46,1021.0,0.0,0.0
47,640.0,0.0,0.0
48,571.0,0.0,0.0
49,566.0,0.0,0.0
50,583.0,0.0,0.0
51,590.0,0.0,0.0
52,606.0,0.0,0.0
53,402.0,0.0,0.0
54,462.0,0.0,0.0
55,197.0,0.0,0.0
56,210.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,205.0,0.0,0.0
64,20.0,0.0,0.0
65,115.0,0.0,0.0
66,791.0,0.0,0.0
67,2248.0,0.0,0.0
68,2285.0,0.0,0.0
69,2276.0,0.0,0.0
70,1035.0,0.0,0.0
71,616.0,0.0,0.0
72,612.0,0.0,0.0
73,655.0,0.0,0.0
74,529.0,0.0,0.0
75,610.0,0.0,0.0
76,658.0,0.0,0.0
77,354.0,0.0,0.0
78,348.0,0.0,0.0
79,274.0,0.0,0.0
80,190.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,170.0,0.0,0.0
88,15.0,0.0,0.0
89,171.0,0.0,0.0
90,742.0,0.0,0.0
91,2240.0,0.0,0.0
92,2267.0,0.0,0.0
93,2238.0,0.0,0.0
94,1032.0,0.0,0.0
95,556.0,0.0,0.0
96,638.0,0.0,0.0
97,524.0,0.0,0.0
98,520.0,0.0,0.0
99,509.0,0.0,0.0
100,607.0,0.0,0.0
101,348.0,0.0,0.0
102,354.0,0.0,0.0
103,210.0,0.0,0.0
104,210.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,215.0,0.0,0.0
112,55.0,0.0,0.0
113,86.0,0.0,0.0
114,790.0,0.0,0.0
115,2220.0,0.0,0.0
116,2199.0,0.0,0.0
117,2224.0,0.0,0.0
118,916.0,0.0,0.0
119,535.0,0.0,0.0
120,629.0,0.0,0.0
121,548.0,0.0,0.0
122,537.0,0.0,0.0
123,525.0,0.0,0.0
124,590.0,0.0,0.0
125,420.0,0.0,0.0
