,0
0,55
1,54
2,64
3,65
4,70
5,24
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,83
23,50
0,68
1,63
2,60
3,65
4,67
5,30
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,88
23,71
0,60
1,53
2,53
3,61
4,61
5,29
6,45
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,95
23,64
0,60
1,65
2,53
3,60
4,63
5,24
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,98
23,54
0,60
1,50
2,47
3,51
4,68
5,21
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,81
23,52
0,58
1,58
2,63
3,52
4,65
5,39
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,87
23,68
0,50
1,53
2,59
3,65
4,57
5,34
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,94
23,68
0,57
1,67
2,76
3,63
4,63
5,27
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,97
19,300
20,300
21,300
22,104
23,75
0,63
1,67
2,45
3,61
4,69
5,26
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,105
19,300
20,300
21,300
22,76
23,65
0,47
1,67
2,67
3,59
4,55
5,23
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,103
19,300
20,300
21,300
22,90
23,57
0,70
1,50
2,59
3,63
4,65
5,31
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,90
23,58
0,65
1,58
2,57
3,55
4,61
5,36
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,300
20,300
21,300
22,83
23,68
0,52
1,58
2,52
3,60
4,71
5,30
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,95
23,56
0,62
1,59
2,75
3,57
4,69
5,32
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,91
23,60
0,56
1,64
2,62
3,70
4,47
5,30
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,104
19,300
20,300
21,300
22,93
23,52
0,61
1,53
2,53
3,79
4,72
5,26
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,98
23,50
0,49
1,69
2,62
3,65
4,70
5,31
6,20
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,80
23,57
0,54
1,60
2,58
3,51
4,46
5,37
6,36
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,87
23,59
0,58
1,54
2,60
3,67
4,45
5,39
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,89
23,60
0,72
1,62
2,49
3,54
4,72
5,26
6,21
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,90
23,61
0,68
1,57
2,66
3,51
4,57
5,36
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,109
23,68
0,58
1,60
2,59
3,70
4,57
5,31
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,300
20,300
21,300
22,89
23,43
0,63
1,55
2,55
3,58
4,52
5,28
6,26
7,0
8,0
9,0
10,0
