,Domestic,Commercial,Public
0,604.0,0.0,0.0
1,613.0,0.0,0.0
2,542.0,0.0,0.0
3,617.0,0.0,0.0
4,566.0,0.0,0.0
5,342.0,0.0,0.0
6,312.0,0.0,0.0
7,226.0,0.0,0.0
8,215.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,160.0,0.0,0.0
16,25.0,0.0,0.0
17,101.0,0.0,0.0
18,671.0,0.0,0.0
19,2309.0,0.0,0.0
20,2276.0,0.0,0.0
21,2246.0,0.0,0.0
22,956.0,0.0,0.0
23,640.0,0.0,0.0
24,495.0,0.0,0.0
25,515.0,0.0,0.0
26,630.0,0.0,0.0
27,510.0,0.0,0.0
28,579.0,0.0,0.0
29,402.0,0.0,0.0
30,330.0,0.0,0.0
31,230.0,0.0,0.0
32,195.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,180.0,0.0,0.0
40,30.0,0.0,0.0
41,132.0,0.0,0.0
42,740.0,0.0,0.0
43,2248.0,0.0,0.0
44,2166.0,0.0,0.0
45,2220.0,0.0,0.0
46,1062.0,0.0,0.0
47,557.0,0.0,0.0
48,489.0,0.0,0.0
49,552.0,0.0,0.0
50,555.0,0.0,0.0
51,622.0,0.0,0.0
52,578.0,0.0,0.0
53,414.0,0.0,0.0
54,390.0,0.0,0.0
55,225.0,0.0,0.0
56,210.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,165.0,0.0,0.0
64,25.0,0.0,0.0
65,98.0,0.0,0.0
66,727.0,0.0,0.0
67,2264.0,0.0,0.0
68,2287.0,0.0,0.0
69,2294.0,0.0,0.0
70,1017.0,0.0,0.0
71,546.0,0.0,0.0
72,554.0,0.0,0.0
73,599.0,0.0,0.0
74,561.0,0.0,0.0
75,573.0,0.0,0.0
76,566.0,0.0,0.0
77,390.0,0.0,0.0
78,372.0,0.0,0.0
79,241.0,0.0,0.0
80,145.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,185.0,0.0,0.0
88,35.0,0.0,0.0
89,121.0,0.0,0.0
90,693.0,0.0,0.0
91,2263.0,0.0,0.0
92,2222.0,0.0,0.0
93,2220.0,0.0,0.0
94,1044.0,0.0,0.0
95,577.0,0.0,0.0
96,616.0,0.0,0.0
97,610.0,0.0,0.0
98,665.0,0.0,0.0
99,554.0,0.0,0.0
100,643.0,0.0,0.0
101,354.0,0.0,0.0
102,324.0,0.0,0.0
103,237.0,0.0,0.0
104,215.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
