,0
0,300.0
1,384.0
2,330.0
3,342.0
4,372.0
5,156.0
6,192.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,522.0
19,1800.0
20,1800.0
21,1800.0
22,606.0
23,342.0
0,384.0
1,396.0
2,342.0
3,390.0
4,324.0
5,138.0
6,216.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,474.0
19,1800.0
20,1800.0
21,1800.0
22,552.0
23,402.0
0,366.0
1,246.0
2,324.0
3,354.0
4,378.0
5,144.0
6,132.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,504.0
19,1800.0
20,1800.0
21,1800.0
22,498.0
23,354.0
0,324.0
1,390.0
2,300.0
3,402.0
4,294.0
5,210.0
6,216.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,468.0
19,1800.0
20,1800.0
21,1800.0
22,474.0
23,384.0
0,348.0
1,414.0
2,360.0
3,396.0
4,390.0
5,168.0
6,174.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,564.0
19,1800.0
20,1800.0
21,1800.0
22,558.0
23,420.0
0,384.0
1,336.0
2,360.0
3,420.0
4,354.0
5,186.0
6,132.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,522.0
19,1800.0
20,1800.0
21,1800.0
22,570.0
23,354.0
0,342.0
1,336.0
2,390.0
3,396.0
4,378.0
5,126.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,582.0
19,1800.0
20,1800.0
21,1800.0
22,450.0
23,324.0
0,300.0
1,372.0
2,294.0
3,312.0
4,342.0
5,138.0
6,156.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,558.0
19,1800.0
20,1800.0
21,1800.0
22,522.0
23,348.0
0,342.0
1,366.0
2,324.0
3,270.0
4,396.0
5,204.0
6,192.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,486.0
19,1800.0
20,1800.0
21,1800.0
22,552.0
23,372.0
0,336.0
1,414.0
2,390.0
3,378.0
4,336.0
5,138.0
6,222.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,642.0
19,1800.0
20,1800.0
21,1800.0
22,534.0
23,396.0
0,432.0
1,336.0
2,408.0
3,390.0
4,342.0
5,162.0
6,180.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,558.0
19,1800.0
20,1800.0
21,1800.0
22,486.0
23,354.0
0,396.0
1,360.0
2,294.0
3,318.0
4,312.0
5,168.0
6,204.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,528.0
19,1800.0
20,1800.0
21,1800.0
22,570.0
23,462.0
0,414.0
1,360.0
2,372.0
3,318.0
4,378.0
5,222.0
6,150.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,606.0
19,1800.0
20,1800.0
21,1800.0
22,588.0
23,396.0
0,372.0
1,360.0
2,288.0
3,342.0
4,384.0
5,204.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,528.0
19,1800.0
20,1800.0
21,1800.0
22,504.0
23,474.0
0,390.0
1,348.0
2,414.0
3,366.0
4,294.0
5,228.0
6,138.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,528.0
19,1800.0
20,1800.0
21,1800.0
22,510.0
23,396.0
0,324.0
1,282.0
2,348.0
3,318.0
4,366.0
5,168.0
6,150.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,558.0
19,1800.0
20,1800.0
21,1800.0
22,522.0
23,402.0
0,252.0
1,408.0
2,444.0
3,336.0
4,390.0
5,132.0
6,234.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,564.0
19,1800.0
20,1800.0
21,1800.0
22,540.0
23,420.0
0,366.0
1,474.0
2,372.0
3,402.0
4,390.0
5,198.0
6,204.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,540.0
19,1800.0
20,1800.0
21,1800.0
22,510.0
23,324.0
0,390.0
1,378.0
2,366.0
3,348.0
4,366.0
5,156.0
6,144.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,498.0
19,1800.0
20,1800.0
21,1800.0
22,540.0
23,366.0
0,390.0
1,336.0
2,402.0
3,426.0
4,324.0
5,180.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,504.0
19,1800.0
20,1800.0
21,1800.0
22,474.0
23,378.0
0,342.0
1,306.0
2,378.0
3,420.0
4,318.0
5,210.0
6,180.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,528.0
19,1800.0
20,1800.0
21,1800.0
22,492.0
23,372.0
0,396.0
1,330.0
2,348.0
3,330.0
4,336.0
5,204.0
6,162.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,492.0
19,1800.0
20,1800.0
21,1800.0
22,510.0
23,294.0
0,360.0
1,330.0
2,330.0
3,372.0
4,384.0
5,222.0
6,144.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,504.0
19,1800.0
20,1800.0
21,1800.0
22,498.0
23,438.0
0,276.0
1,396.0
2,324.0
3,396.0
4,360.0
5,192.0
6,180.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,486.0
19,1800.0
20,1800.0
21,1800.0
22,552.0
23,330.0
0,414.0
1,348.0
2,294.0
3,408.0
