,Domestic,Commercial,Public
0,531.0,0.0,0.0
1,633.0,0.0,0.0
2,616.0,0.0,0.0
3,530.0,0.0,0.0
4,602.0,0.0,0.0
5,348.0,0.0,0.0
6,348.0,0.0,0.0
7,295.0,0.0,0.0
8,210.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,190.0,0.0,0.0
16,40.0,0.0,0.0
17,115.0,0.0,0.0
18,806.0,0.0,0.0
19,2278.0,0.0,0.0
20,2267.0,0.0,0.0
21,2170.0,0.0,0.0
22,1080.0,0.0,0.0
23,574.0,0.0,0.0
24,660.0,0.0,0.0
25,623.0,0.0,0.0
26,565.0,0.0,0.0
27,641.0,0.0,0.0
28,564.0,0.0,0.0
29,378.0,0.0,0.0
30,396.0,0.0,0.0
31,247.0,0.0,0.0
32,260.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,200.0,0.0,0.0
40,30.0,0.0,0.0
41,112.0,0.0,0.0
42,763.0,0.0,0.0
43,2253.0,0.0,0.0
44,2292.0,0.0,0.0
45,2258.0,0.0,0.0
46,1004.0,0.0,0.0
47,612.0,0.0,0.0
48,614.0,0.0,0.0
49,463.0,0.0,0.0
50,547.0,0.0,0.0
51,602.0,0.0,0.0
52,624.0,0.0,0.0
53,348.0,0.0,0.0
54,372.0,0.0,0.0
55,259.0,0.0,0.0
56,220.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,190.0,0.0,0.0
64,20.0,0.0,0.0
65,116.0,0.0,0.0
66,748.0,0.0,0.0
67,2208.0,0.0,0.0
68,2299.0,0.0,0.0
69,2204.0,0.0,0.0
70,951.0,0.0,0.0
71,617.0,0.0,0.0
72,590.0,0.0,0.0
73,603.0,0.0,0.0
74,581.0,0.0,0.0
75,606.0,0.0,0.0
76,527.0,0.0,0.0
77,438.0,0.0,0.0
78,408.0,0.0,0.0
79,272.0,0.0,0.0
80,195.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
