,0
0,50
1,64
2,55
3,57
4,62
5,26
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,101
23,57
0,64
1,66
2,57
3,65
4,54
5,23
6,36
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,79
19,300
20,300
21,300
22,92
23,67
0,61
1,41
2,54
3,59
4,63
5,24
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,84
19,300
20,300
21,300
22,83
23,59
0,54
1,65
2,50
3,67
4,49
5,35
6,36
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,78
19,300
20,300
21,300
22,79
23,64
0,58
1,69
2,60
3,66
4,65
5,28
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,93
23,70
0,64
1,56
2,60
3,70
4,59
5,31
6,22
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,95
23,59
0,57
1,56
2,65
3,66
4,63
5,21
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,97
19,300
20,300
21,300
22,75
23,54
0,50
1,62
2,49
3,52
4,57
5,23
6,26
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,87
23,58
0,57
1,61
2,54
3,45
4,66
5,34
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,81
19,300
20,300
21,300
22,92
23,62
0,56
1,69
2,65
3,63
4,56
5,23
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,107
19,300
20,300
21,300
22,89
23,66
0,72
1,56
2,68
3,65
4,57
5,27
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,81
23,59
0,66
1,60
2,49
3,53
4,52
5,28
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,95
23,77
0,69
1,60
2,62
3,53
4,63
5,37
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,101
19,300
20,300
21,300
22,98
23,66
0,62
1,60
2,48
3,57
4,64
5,34
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,84
23,79
0,65
1,58
2,69
3,61
4,49
5,38
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,85
23,66
0,54
1,47
2,58
3,53
4,61
5,28
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,87
23,67
0,42
1,68
2,74
3,56
4,65
5,22
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,90
23,70
0,61
1,79
2,62
3,67
4,65
5,33
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,85
23,54
0,65
1,63
2,61
3,58
4,61
5,26
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
