,0
0,9
1,9
2,8
3,4
4,4
5,0
6,0
7,47
8,42
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,8
17,23
18,22
19,56
20,43
21,44
22,54
23,8
0,6
1,1
2,5
3,7
4,6
5,0
6,0
7,41
8,52
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,6
17,20
18,23
19,51
20,54
21,52
22,52
23,6
0,4
1,5
2,5
3,10
4,6
5,0
6,0
7,41
8,44
9,0
10,0
11,0
12,0
13,0
14,0
15,38
16,4
17,22
18,20
19,42
20,53
21,40
22,51
23,7
0,10
1,3
2,7
3,6
4,7
5,0
6,0
7,40
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,5
17,22
18,25
19,52
20,58
21,45
22,61
23,9
0,14
1,5
2,8
3,4
4,6
5,0
6,0
7,34
8,43
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,7
17,23
18,14
19,44
20,48
21,47
22,53
23,1
0,7
1,5
2,5
3,6
4,3
5,0
6,0
7,41
8,40
9,0
10,0
11,0
12,0
13,0
14,0
15,45
16,3
17,13
18,27
19,49
20,48
21,50
22,54
23,6
0,7
1,8
2,9
3,3
4,9
5,0
6,0
7,41
8,45
9,0
10,0
11,0
12,0
13,0
14,0
15,41
16,5
17,22
18,18
19,43
20,51
21,56
22,45
23,4
0,7
1,3
2,7
3,9
4,3
5,0
6,0
7,36
8,33
9,0
10,0
11,0
12,0
13,0
14,0
15,34
16,6
17,24
18,15
19,47
20,45
21,49
22,43
23,5
0,5
1,5
2,1
3,3
4,7
5,0
6,0
7,28
8,39
9,0
10,0
11,0
12,0
13,0
14,0
15,40
16,8
17,26
18,11
19,54
20,57
21,44
22,52
23,10
0,7
1,2
2,12
3,6
4,1
5,0
6,0
7,42
8,42
9,0
10,0
11,0
12,0
13,0
14,0
15,37
16,6
17,22
18,21
19,48
20,51
21,50
22,46
23,3
0,5
1,7
2,4
3,4
4,4
5,0
6,0
7,32
8,41
9,0
10,0
11,0
12,0
13,0
14,0
15,39
16,9
17,25
18,23
19,56
20,47
21,53
22,38
23,2
0,3
1,8
2,6
3,9
4,6
5,0
6,0
7,42
8,49
9,0
10,0
11,0
12,0
13,0
14,0
15,35
16,6
17,22
18,21
19,50
20,44
21,60
22,48
23,10
0,7
1,9
2,6
3,7
